quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"rekishi-taisho-showa","q-01","次の説明にあてはまる語句を答えなさい。
「ヨーロッパで始まった世界的な戦争。日本も参戦し、中国に二十一か条の要求を出した」","第一次世界大戦","近代","","",""
"rekishi-taisho-showa","q-02","「第一次世界大戦」は西暦何年のことか。数字で答えなさい。","1914","近代","1914年","",""
"rekishi-taisho-showa","q-03","次の説明にあてはまる語句を答えなさい。
「世界で初めての社会主義国が生まれるきっかけとなった革命」","ロシア革命","近代","","",""
"rekishi-taisho-showa","q-04","「ロシア革命」は西暦何年のことか。数字で答えなさい。","1917","近代","1917年","",""
"rekishi-taisho-showa","q-05","次の説明にあてはまる語句を答えなさい。
「米の値上がりに対して富山県から全国に広がった民衆の運動」","米騒動","近代","","",""
"rekishi-taisho-showa","q-06","「米騒動」は西暦何年のことか。数字で答えなさい。","1918","近代","1918年","",""
"rekishi-taisho-showa","q-07","次の説明にあてはまる語句を答えなさい。
「衆議院で多数を占める政党が中心となって組織する内閣」","政党内閣","近代","本格的な政党内閣|原敬内閣","",""
"rekishi-taisho-showa","q-08","「政党内閣」は西暦何年のことか。数字で答えなさい。","1918","近代","1918年","",""
"rekishi-taisho-showa","q-09","次の説明にあてはまる人物はだれか。
「1918年に日本初の本格的な政党内閣を組織し、「平民宰相」と呼ばれた」","原敬","近代","","",""
"rekishi-taisho-showa","q-10","次の説明にあてはまる語句を答えなさい。
「大正時代に高まった、民主主義を求める風潮」","大正デモクラシー","近代","","",""
"rekishi-taisho-showa","q-11","次の説明にあてはまる語句を答えなさい。
「満25歳以上のすべての男子に選挙権を認めた法律」","普通選挙法","近代","","",""
"rekishi-taisho-showa","q-12","「普通選挙法」は西暦何年のことか。数字で答えなさい。","1925","近代","1925年","",""
"rekishi-taisho-showa","q-13","次の説明にあてはまる語句を答えなさい。
「共産主義などの運動を取りしまるために定められた法律」","治安維持法","近代","","",""
"rekishi-taisho-showa","q-14","「治安維持法」は西暦何年のことか。数字で答えなさい。","1925","近代","1925年","",""
"rekishi-taisho-showa","q-15","次の説明にあてはまる語句を答えなさい。
「東京や横浜に大きな被害をもたらした地震災害」","関東大震災","近代","","",""
"rekishi-taisho-showa","q-16","「関東大震災」は西暦何年のことか。数字で答えなさい。","1923","近代","1923年","",""
"rekishi-taisho-showa","q-17","次の説明にあてはまる語句を答えなさい。
「第一次世界大戦の反省から世界平和のためにつくられた国際組織」","国際連盟","近代","","",""
"rekishi-taisho-showa","q-18","「国際連盟」は西暦何年のことか。数字で答えなさい。","1920","近代","1920年","",""
"rekishi-taisho-showa","q-19","次の説明にあてはまる語句を答えなさい。
「アメリカの株価暴落をきっかけに世界中に広がった不景気」","世界恐慌","近代","","",""
"rekishi-taisho-showa","q-20","「世界恐慌」は西暦何年のことか。数字で答えなさい。","1929","近代","1929年","",""
"rekishi-taisho-showa","q-21","次の説明にあてはまる語句を答えなさい。
「南満州鉄道の爆破をきっかけに始まった軍事行動。翌年、満州国がつくられた」","満州事変","近代","","",""
"rekishi-taisho-showa","q-22","「満州事変」は西暦何年のことか。数字で答えなさい。","1931","近代","1931年","",""
"rekishi-taisho-showa","q-23","次の説明にあてはまる語句を答えなさい。
「満州事変のあとに日本が中国東北部につくった国」","満州国","近代","","",""
"rekishi-taisho-showa","q-24","「満州国」は西暦何年のことか。数字で答えなさい。","1932","近代","1932年","",""
"rekishi-taisho-showa","q-25","次の説明にあてはまる語句を答えなさい。
「満州国を認められなかった日本が通告した」","国際連盟からの脱退","近代","国際連盟脱退|連盟脱退","",""
"rekishi-taisho-showa","q-26","「国際連盟からの脱退」は西暦何年のことか。数字で答えなさい。","1933","近代","1933年","",""
"rekishi-taisho-showa","q-27","次の説明にあてはまる語句を答えなさい。
「海軍の青年将校らが首相を暗殺した事件。政党内閣が終わるきっかけとなった」","五・一五事件","近代","","",""
"rekishi-taisho-showa","q-28","「五・一五事件」は西暦何年のことか。数字で答えなさい。","1932","近代","1932年","",""
"rekishi-taisho-showa","q-29","次の説明にあてはまる語句を答えなさい。
「陸軍の青年将校らが大臣らを殺傷して東京の中心部を占拠した事件」","二・二六事件","近代","","",""
"rekishi-taisho-showa","q-30","「二・二六事件」は西暦何年のことか。数字で答えなさい。","1936","近代","1936年","",""
"rekishi-taisho-showa","q-31","次の説明にあてはまる語句を答えなさい。
「北京郊外での衝突をきっかけに始まった中国との戦争」","日中戦争","近代","","",""
"rekishi-taisho-showa","q-32","「日中戦争」は西暦何年のことか。数字で答えなさい。","1937","近代","1937年","",""
"rekishi-taisho-showa","q-33","次の説明にあてはまる語句を答えなさい。
「戦争のために国民や物資を政府が自由に動かせるようにした法律」","国家総動員法","近代","","",""
"rekishi-taisho-showa","q-34","「国家総動員法」は西暦何年のことか。数字で答えなさい。","1938","近代","1938年","",""
"rekishi-taisho-showa","q-35","次の説明にあてはまる語句を答えなさい。
「ドイツのポーランド侵攻によって始まった世界的な戦争」","第二次世界大戦","近代","","",""
"rekishi-taisho-showa","q-36","「第二次世界大戦」は西暦何年のことか。数字で答えなさい。","1939","近代","1939年","",""
"rekishi-taisho-showa","q-37","次の説明にあてはまる語句を答えなさい。
「ハワイの真珠湾への攻撃などによって始まった戦争」","太平洋戦争","近代","","",""
"rekishi-taisho-showa","q-38","「太平洋戦争」は西暦何年のことか。数字で答えなさい。","1941","近代","1941年","",""
