quiz_id,item_key,label,answer,category,accept,extra_json
"rika-kokyu-junkan","q-01","細胞が栄養分と酸素を使ってエネルギーを取り出し、二酸化炭素と水を生じる働きを何というか。","呼吸","呼吸","",""
"rika-kokyu-junkan","q-02","空気中から酸素を取り入れ、二酸化炭素を放出する器官は何か。","肺","呼吸器官","",""
"rika-kokyu-junkan","q-03","鼻や口から入った空気を肺へ運ぶ、首から胸にかけての管を何というか。","気管","呼吸器官","",""
"rika-kokyu-junkan","q-04","気管が左右に分かれたあと、肺の中へ伸びていく2本の管を何というか。","気管支","呼吸器官","",""
"rika-kokyu-junkan","q-05","肺の中で、毛細血管に取り囲まれ、酸素と二酸化炭素の交換を行う小さな袋を何というか。","肺胞","呼吸器官","",""
"rika-kokyu-junkan","q-06","肺胞の壁が薄く、肺胞の数が多いことで、何が効率よく行われるか。","気体交換","肺胞","ガス交換|酸素と二酸化炭素の交換",""
"rika-kokyu-junkan","q-07","肺胞で、空気中から血液中へ取り込まれる気体は何か。","酸素","気体交換","",""
"rika-kokyu-junkan","q-08","肺胞で、血液中から空気中へ排出される気体は何か。","二酸化炭素","気体交換","炭酸ガス|CO2",""
"rika-kokyu-junkan","q-09","息を吸うとき、横隔膜は収縮して上がるか、下がるか。","下がる","呼吸運動","下降する",""
"rika-kokyu-junkan","q-10","息を吐くとき、胸郭の容積は大きくなるか、小さくなるか。","小さくなる","呼吸運動","減少する",""
"rika-kokyu-junkan","q-11","心臓から血液が出ていくときに通る血管を何というか。","動脈","血管","",""
"rika-kokyu-junkan","q-12","全身から心臓へ血液が戻ってくるときに通る血管を何というか。","静脈","血管","",""
"rika-kokyu-junkan","q-13","動脈と静脈の間にあり、細胞との間で酸素や養分などの受け渡しを行う細い血管を何というか。","毛細血管","血管","",""
"rika-kokyu-junkan","q-14","赤血球に含まれ、酸素と結びついて酸素を運ぶ赤い色素を何というか。","ヘモグロビン","血液成分","",""
"rika-kokyu-junkan","q-15","病原体などを取り込んで分解する働きをもつ血液の成分を何というか。","白血球","血液成分","",""
"rika-kokyu-junkan","q-16","出血したときに血液を固め、血を止める働きをする血液の成分を何というか。","血小板","血液成分","",""
"rika-kokyu-junkan","q-17","血液の液体成分で、養分や二酸化炭素などを運ぶものを何というか。","血しょう","血液成分","血漿|けっしょう",""
"rika-kokyu-junkan","q-18","心臓から肺へ血液を送り出す血管を何というか。","肺動脈","血管","",""
"rika-kokyu-junkan","q-19","心臓の4つの部屋のうち、全身へ血液を送り出す部屋を何というか。","左心室","心臓","",""
"rika-kokyu-junkan","q-20","全身から戻ってきた血液が、最初に入る心臓の部屋を何というか。","右心房","心臓","",""
