quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"rekishi-muromachi","q-01","次の説明にあてはまる語句を答えなさい。
「鎌倉幕府をたおした天皇が行った政治。武士の不満で2年余りで失敗した」","建武の新政","中世","","",""
"rekishi-muromachi","q-02","「建武の新政」は西暦何年のことか。数字で答えなさい。","1334","中世","1334年","",""
"rekishi-muromachi","q-03","次の説明にあてはまる人物はだれか。
「鎌倉幕府をたおし、建武の新政を行った」","後醍醐天皇","中世","","",""
"rekishi-muromachi","q-04","次の説明にあてはまる語句を答えなさい。
「足利氏が京都に開いた幕府」","室町幕府","中世","","",""
"rekishi-muromachi","q-05","「室町幕府」は西暦何年のことか。数字で答えなさい。","1338","中世","1338年","",""
"rekishi-muromachi","q-06","次の説明にあてはまる人物はだれか。
「征夷大将軍となり、京都に室町幕府を開いた」","足利尊氏","中世","","",""
"rekishi-muromachi","q-07","次の説明にあてはまる語句を答えなさい。
「明との間で行われた貿易。倭寇と区別するために合い札を用いた」","勘合貿易","中世","","",""
"rekishi-muromachi","q-08","「勘合貿易」は西暦何年のことか。数字で答えなさい。","1404","中世","1404年","",""
"rekishi-muromachi","q-09","次の説明にあてはまる人物はだれか。
「南北朝を統一し、明と勘合貿易を始めた。金閣を建てた」","足利義満","中世","","",""
"rekishi-muromachi","q-10","次の説明にあてはまる語句を答えなさい。
「足利義満が京都の北山に建てた、公家と武家の文化が混じった建物」","金閣","中世","","",""
"rekishi-muromachi","q-11","次の説明にあてはまる語句を答えなさい。
「京都の東山に建てられた建物。簡素で落ち着いた造りが特徴」","銀閣","中世","","",""
"rekishi-muromachi","q-12","次の説明にあてはまる人物はだれか。
「東山に銀閣を建てた。その後継ぎ争いが応仁の乱の原因となった」","足利義政","中世","","",""
"rekishi-muromachi","q-13","次の説明にあてはまる語句を答えなさい。
「11年続いた戦乱。京都が荒れ、戦国時代が始まるきっかけとなった」","応仁の乱","中世","","",""
"rekishi-muromachi","q-14","「応仁の乱」は西暦何年のことか。数字で答えなさい。","1467","中世","1467年","",""
"rekishi-muromachi","q-15","次の説明にあてはまる語句を答えなさい。
「種子島に流れ着いたポルトガル人によって伝えられた」","鉄砲の伝来","中世","","",""
"rekishi-muromachi","q-16","「鉄砲の伝来」は西暦何年のことか。数字で答えなさい。","1543","中世","1543年","",""
"rekishi-muromachi","q-17","次の説明にあてはまる語句を答えなさい。
「鹿児島に上陸した宣教師によって伝えられた」","キリスト教の伝来","中世","","",""
"rekishi-muromachi","q-18","「キリスト教の伝来」は西暦何年のことか。数字で答えなさい。","1549","中世","1549年","",""
"rekishi-muromachi","q-19","次の説明にあてはまる人物はだれか。
「1549年に鹿児島に来て、日本にキリスト教を伝えた」","フランシスコ・ザビエル","中世","","",""
"rekishi-muromachi","q-20","次の説明にあてはまる語句を答えなさい。
「室町時代に父子によって大成された、面をつけて演じる舞台芸能」","能","中世","","",""
"rekishi-muromachi","q-21","次の説明にあてはまる人物はだれか。
「父の観阿弥とともに能を大成した」","世阿弥","中世","","",""
"rekishi-muromachi","q-22","次の説明にあてはまる語句を答えなさい。
「墨の濃淡だけで自然をえがく絵画。室町時代に日本独自の様式が完成した」","水墨画","中世","","",""
"rekishi-muromachi","q-23","次の説明にあてはまる人物はだれか。
「明にわたって学び、日本の水墨画を大成した」","雪舟","中世","","",""
"rekishi-muromachi","q-24","次の説明にあてはまる語句を答えなさい。
「床の間や畳、障子を用いた住宅の様式。銀閣の東求堂に代表され、今の和室のもとになった」","書院造","中世","","",""
"rekishi-muromachi","q-25","次の説明にあてはまる語句を答えなさい。
「室町時代、農民が寄合を開いて村のきまりを定めた自治組織」","惣","中世","惣村","",""
"rekishi-muromachi","q-26","次の説明にあてはまる語句を答えなさい。
「商人や職人が同業者でつくり、貴族や寺社に税を納めて営業を独占した組合」","座","中世","","",""
"rekishi-muromachi","q-27","次の説明にあてはまる語句を答えなさい。
「室町時代、農民が借金の帳消し(徳政)を求めて起こした一揆」","土一揆","中世","徳政一揆","",""
"rekishi-muromachi","q-28","次の説明にあてはまる語句を答えなさい。
「地位の低い者が実力で上の者をたおす風潮。戦国時代の特徴」","下剋上","中世","","",""
"rekishi-muromachi","q-29","次の説明にあてはまる語句を答えなさい。
「戦国大名が領国を治めるために独自に定めたきまり」","分国法","中世","","",""
"rekishi-muromachi","q-30","次の説明にあてはまる語句を答えなさい。
「馬を使って物資を運んだ運送業者。土一揆の中心になることもあった」","馬借","中世","","",""
"rekishi-muromachi","q-31","次の説明にあてはまる語句を答えなさい。
「朝鮮半島や中国の沿岸をおそった海賊。勘合貿易ではこれと区別するため合い札を用いた」","倭寇","中世","","",""
"rekishi-muromachi","q-32","次の説明にあてはまる語句を答えなさい。
「14世紀のイタリアから始まった、古代ギリシャ・ローマの文化を見直す動き」","ルネサンス","中世","","",""
"rekishi-muromachi","q-33","次の説明にあてはまる語句を答えなさい。
「16世紀、免罪符を売る教会を批判して始まったキリスト教の改革」","宗教改革","中世","","",""
"rekishi-muromachi","q-34","次の説明にあてはまる人物はだれか。
「免罪符を売る教会を批判し、宗教改革を始めた」","ルター","中世","","",""
"rekishi-muromachi","q-35","次の説明にあてはまる語句を答えなさい。
「1492年、スペインの援助を受けて大西洋を横断し、アメリカ大陸付近に到達した人物」","コロンブス","中世","","",""
"rekishi-muromachi","q-36","次の説明にあてはまる人物はだれか。
「1492年に大西洋を横断し、アメリカ大陸付近の島に到達した」","コロンブス","中世","","",""
"rekishi-muromachi","q-37","次の説明にあてはまる語句を答えなさい。
「その船隊が初めて世界一周を成しとげた人物」","マゼラン","中世","","",""
