quiz_id,item_key,label,answer,category,accept,extra_json
"rika-shinka","q-01","生物が長い時間をかけて、世代を重ねるうちに形や性質を変化させることを何というか。","進化","進化","",""
"rika-shinka","q-02","現在の生物が、長い時間をかけて変化してきたことを示す証拠の一つで、過去の生物の体や活動のあとを何というか。","化石","進化の証拠","",""
"rika-shinka","q-03","地層の中で、下にある地層は上にある地層と比べて、一般に新しいか古いか。","古い","地層","",""
"rika-shinka","q-04","地層が堆積した当時の地質時代を知る手がかりになる化石を何というか。","示準化石","化石","",""
"rika-shinka","q-05","示準化石に適しているのは、広い地域に分布し、生存していた期間が長い生物と短い生物のどちらか。","短い","化石","",""
"rika-shinka","q-06","地層が堆積した当時の環境を知る手がかりになる化石を何というか。","示相化石","化石","",""
"rika-shinka","q-07","示相化石になる生物が分布する地域は、広いか狭いか。","狭い","化石","",""
"rika-shinka","q-08","始祖鳥は、は虫類とどの動物の両方の特徴をもつ化石生物か。","鳥類","化石","鳥",""
"rika-shinka","q-09","人間の腕、コウモリの翼、クジラのひれのように、基本的なつくりが共通している器官を何というか。","相同器官","進化の証拠","",""
"rika-shinka","q-10","相同器官があることは、これらの生物が共通の何から進化したことを示しているか。","祖先","進化の証拠","共通祖先",""
"rika-shinka","q-11","生物の体にあるが、現在はほとんど働いていない器官を何というか。","痕跡器官","進化の証拠","",""
"rika-shinka","q-12","ヒトの尾てい骨は、どの器官の痕跡と考えられているか。","尾","痕跡器官","しっぽ|尻尾",""
"rika-shinka","q-13","生物が生活する環境に適した形や性質をもつようになることを何というか。","適応","進化","",""
"rika-shinka","q-14","地球の歴史を、生物や地層の変化に基づいて区分した時代を何というか。","地質時代","地質時代","",""
"rika-shinka","q-15","古生代の初めに現れ、古生代の終わりに絶滅した代表的な示準化石を何というか。","三葉虫","化石","",""
"rika-shinka","q-16","中生代の代表的な示準化石で、現在は絶滅している頭足類を何というか。","アンモナイト","化石","",""
