quiz_id,item_key,label,answer,category,accept,extra_json
"rika-seitaikei","q-01","ある地域に生息する生物と、それを取り巻く環境を一つのまとまりとして何というか。","生態系","生態系","",""
"rika-seitaikei","q-02","生態系を構成する要素のうち、植物や動物などの生物に関する環境を何というか。","生物的環境","生態系","",""
"rika-seitaikei","q-03","生態系を構成する要素のうち、光・温度・水・空気などの生物以外の環境を何というか。","非生物的環境","生態系","",""
"rika-seitaikei","q-04","光合成によって無機物から有機物をつくる生物を何というか。","生産者","生態系","",""
"rika-seitaikei","q-05","他の生物を食べて有機物を取り入れる生物を何というか。","消費者","生態系","",""
"rika-seitaikei","q-06","生物の死がいや排出物を分解し、無機物に戻す生物を何というか。","分解者","生態系","",""
"rika-seitaikei","q-07","生物どうしの「食べる・食べられる」という関係が、鎖のようにつながったものを何というか。","食物連鎖","生態系","",""
"rika-seitaikei","q-08","複数の食物連鎖が網の目のようにつながったものを何というか。","食物網","生態系","",""
"rika-seitaikei","q-09","食物連鎖で、生産者を直接食べる消費者を何というか。","一次消費者","食物連鎖","第一次消費者|1次消費者",""
"rika-seitaikei","q-10","食物連鎖で、植物を食べる動物を何というか。","草食動物","食物連鎖","",""
"rika-seitaikei","q-11","食物連鎖で、他の動物を食べる動物を何というか。","肉食動物","食物連鎖","",""
"rika-seitaikei","q-12","生態系において、生物が生きるためのエネルギーの主なもとは何か。","太陽光","エネルギー","日光|太陽|太陽のエネルギー",""
"rika-seitaikei","q-13","食物連鎖を通って、生物が利用するエネルギーとして受け渡されるものは何か。","エネルギー","エネルギー","",""
"rika-seitaikei","q-15","植物の光合成によって、空気中から取り入れられる物質は何か。","二酸化炭素","物質循環","炭酸ガス|CO2",""
"rika-seitaikei","q-16","植物の光合成によって、空気中へ放出される気体は何か。","酸素","物質循環","",""
"rika-seitaikei","q-17","生産者・消費者・分解者の働きによって、物質が生態系の中を繰り返し移動することを何というか。","物質循環","物質循環","",""
"rika-seitaikei","q-18","生態系の中で、生物の種類や数の関係が大きく変化せずに保たれている状態を何というか。","つり合い","生態系","つりあい",""
