quiz_id,item_key,label,answer,category,extra_json
kencho,1,北海道,札幌市,hokkaido,
kencho,2,青森県,青森市,tohoku,
kencho,3,岩手県,盛岡市,tohoku,
kencho,4,宮城県,仙台市,tohoku,
kencho,5,秋田県,秋田市,tohoku,
kencho,6,山形県,山形市,tohoku,
kencho,7,福島県,福島市,tohoku,
kencho,8,茨城県,水戸市,kanto,
kencho,9,栃木県,宇都宮市,kanto,
kencho,10,群馬県,前橋市,kanto,
kencho,11,埼玉県,さいたま市,kanto,
kencho,12,千葉県,千葉市,kanto,
kencho,13,東京都,東京,kanto,
kencho,14,神奈川県,横浜市,kanto,
kencho,15,新潟県,新潟市,chubu,
kencho,16,富山県,富山市,chubu,
kencho,17,石川県,金沢市,chubu,
kencho,18,福井県,福井市,chubu,
kencho,19,山梨県,甲府市,chubu,
kencho,20,長野県,長野市,chubu,
kencho,21,岐阜県,岐阜市,chubu,
kencho,22,静岡県,静岡市,chubu,
kencho,23,愛知県,名古屋市,chubu,
kencho,24,三重県,津市,kinki,
kencho,25,滋賀県,大津市,kinki,
kencho,26,京都府,京都市,kinki,
kencho,27,大阪府,大阪市,kinki,
kencho,28,兵庫県,神戸市,kinki,
kencho,29,奈良県,奈良市,kinki,
kencho,30,和歌山県,和歌山市,kinki,
kencho,31,鳥取県,鳥取市,chugoku,
kencho,32,島根県,松江市,chugoku,
kencho,33,岡山県,岡山市,chugoku,
kencho,34,広島県,広島市,chugoku,
kencho,35,山口県,山口市,chugoku,
kencho,36,徳島県,徳島市,shikoku,
kencho,37,香川県,高松市,shikoku,
kencho,38,愛媛県,松山市,shikoku,
kencho,39,高知県,高知市,shikoku,
kencho,40,福岡県,福岡市,kyushu-okinawa,
kencho,41,佐賀県,佐賀市,kyushu-okinawa,
kencho,42,長崎県,長崎市,kyushu-okinawa,
kencho,43,熊本県,熊本市,kyushu-okinawa,
kencho,44,大分県,大分市,kyushu-okinawa,
kencho,45,宮崎県,宮崎市,kyushu-okinawa,
kencho,46,鹿児島県,鹿児島市,kyushu-okinawa,
kencho,47,沖縄県,那覇市,kyushu-okinawa,
