quiz_id,item_key,label,answer,category,accept,extra_json
"rekishi-asuka","jushichijo","次の説明にあてはまる語句を答えなさい。
「604年、役人の心構えを示すために定められたきまり」","十七条の憲法","古代","十七条憲法",""
"rekishi-asuka","jushichijo-year","「十七条の憲法」は西暦何年のことか。数字で答えなさい。","604","古代","604年",""
"rekishi-asuka","jushichijo-person","次の説明にあてはまる人物はだれか。
「十七条の憲法や冠位十二階を定め、天皇中心の政治を目指した」","聖徳太子","古代","",""
"rekishi-asuka","kaniijunikai","次の説明にあてはまる語句を答えなさい。
「603年、家柄によらず能力のある人を役人に取り立てるために定められた制度」","冠位十二階","古代","",""
"rekishi-asuka","kaniijunikai-year","「冠位十二階」は西暦何年のことか。数字で答えなさい。","603","古代","603年",""
"rekishi-asuka","kenzuishi","次の説明にあてはまる語句を答えなさい。
「607年、小野妹子らが中国の進んだ制度や文化を学ぶために派遣された使節」","遣隋使","古代","",""
"rekishi-asuka","kenzuishi-year","「遣隋使」は西暦何年のことか。数字で答えなさい。","607","古代","607年",""
"rekishi-asuka","kenzuishi-person","次の説明にあてはまる人物はだれか。
「607年、遣隋使として隋にわたった」","小野妹子","古代","",""
"rekishi-asuka","taika","次の説明にあてはまる語句を答えなさい。
「645年、蘇我氏を倒して始まった、天皇中心の国づくりを目指す政治改革」","大化の改新","古代","",""
"rekishi-asuka","taika-year","「大化の改新」は西暦何年のことか。数字で答えなさい。","645","古代","645年",""
"rekishi-asuka","taika-person","次の説明にあてはまる人物はだれか。
「中臣鎌足とともに蘇我氏を倒し、大化の改新を進めた」","中大兄皇子","古代","",""
"rekishi-asuka","jinshin","次の説明にあてはまる語句を答えなさい。
「672年、天智天皇のあとつぎをめぐって起こった争い。勝った大海人皇子が天武天皇となった」","壬申の乱","古代","",""
"rekishi-asuka","jinshin-year","「壬申の乱」は西暦何年のことか。数字で答えなさい。","672","古代","672年",""
"rekishi-asuka","fujiwarakyo","次の説明にあてはまる語句を答えなさい。
「694年、奈良盆地南部につくられた、日本で初めての本格的な都」","藤原京","古代","",""
"rekishi-asuka","fujiwarakyo-year","「藤原京」は西暦何年のことか。数字で答えなさい。","694","古代","694年",""
"rekishi-asuka","taihoritsuryo","次の説明にあてはまる語句を答えなさい。
「701年に完成した、律と令からなる国の基本法典」","大宝律令","古代","",""
"rekishi-asuka","taihoritsuryo-year","「大宝律令」は西暦何年のことか。数字で答えなさい。","701","古代","701年",""
"rekishi-asuka","handen","次の説明にあてはまる語句を答えなさい。
「6歳以上の男女に口分田を与え、死んだら国に返させた土地の制度」","班田収授法","古代","",""
"rekishi-asuka","kubunden","次の説明にあてはまる語句を答えなさい。
「班田収授法によって人々に分け与えられた土地」","口分田","古代","",""
"rekishi-asuka","so","次の説明にあてはまる語句を答えなさい。
「律令制の税のうち、収穫した稲の約3%を納めるもの」","租","古代","",""
"rekishi-asuka","cho","次の説明にあてはまる語句を答えなさい。
「律令制の税のうち、絹や糸、地方の特産物を都に納めるもの」","調","古代","",""
"rekishi-asuka","yo","次の説明にあてはまる語句を答えなさい。
「律令制の税のうち、都での労役の代わりに布を納めるもの」","庸","古代","",""
"rekishi-asuka","sakimori","次の説明にあてはまる語句を答えなさい。
「律令制のもとで、九州北部の防備にあたらされた兵士」","防人","古代","",""
"rekishi-asuka","kokushi","次の説明にあてはまる語句を答えなさい。
「地方の国を治めるために、中央から派遣された役人」","国司","古代","",""
