quiz_id,item_key,label,answer,category,accept,extra_json
"rika-shouka","q-01","口から肛門まで続き、食物が通過する一続きの器官をまとめて何というか。","消化管","消化器官","",""
"rika-shouka","q-02","口の中で分泌され、デンプンを分解する消化液を何というか。","だ液","消化液","唾液|だえき",""
"rika-shouka","q-03","だ液に含まれ、デンプンを分解する消化酵素を何というか。","アミラーゼ","消化酵素","",""
"rika-shouka","q-04","だ液に含まれるアミラーゼは、デンプンを主に何という糖に分解するか。","麦芽糖","消化","マルトース|糖",""
"rika-shouka","q-05","食物を一時的にため、胃液を分泌して消化を行う器官は何か。","胃","消化器官","",""
"rika-shouka","q-06","胃液に含まれ、タンパク質を分解する消化酵素を何というか。","ペプシン","消化酵素","",""
"rika-shouka","q-07","胃で分泌され、ペプシンを含む消化液を何というか。","胃液","消化液","",""
"rika-shouka","q-08","肝臓でつくられ、脂肪を細かい粒にして消化しやすくする液を何というか。","胆汁","消化液","",""
"rika-shouka","q-09","胆汁をつくる器官は何か。","肝臓","消化器官","",""
"rika-shouka","q-10","胆汁には消化酵素が含まれているか、含まれていないか。","含まれていない","消化液","含まれない|含まない",""
"rika-shouka","q-11","胃と小腸の間にあり、胆汁やすい液が流れ込む小腸の始まりの部分を何というか。","十二指腸","消化器官","",""
"rika-shouka","q-12","小腸から分泌され、消化を行う消化液を何というか。","腸液","消化液","",""
"rika-shouka","q-13","すい臓から分泌され、デンプン・タンパク質・脂肪などを消化する消化液を何というか。","すい液","消化液","膵液|すいえき",""
"rika-shouka","q-14","栄養分の消化と吸収が主に行われる器官は何か。","小腸","消化器官","",""
"rika-shouka","q-15","小腸の内壁にある、表面積を大きくする細かい突起を何というか。","柔毛","小腸","じゅうもう|絨毛",""
"rika-shouka","q-16","柔毛の中に入り込んでいて、ブドウ糖やアミノ酸を取り込む細い血管を何というか。","毛細血管","吸収","",""
"rika-shouka","q-17","デンプンが消化されてできたブドウ糖は、柔毛から血液とリンパ液のどちらに取り込まれるか。","血液","吸収","",""
"rika-shouka","q-18","タンパク質が消化されてできたアミノ酸は、柔毛から血液とリンパ液のどちらに取り込まれるか。","血液","吸収","",""
"rika-shouka","q-19","脂肪が消化されてできた脂肪酸とモノグリセリドは、柔毛の中のどの管に取り込まれるか。","リンパ管","吸収","",""
"rika-shouka","q-20","消化されずに大腸へ送られた食物の残りから、大腸で主に吸収されるものは何か。","水","大腸","",""
