quiz_id,item_key,label,answer,category,accept,extra_json
"rika-kankyou","q-01","生物の種類、同じ種類の個体の形質、生態系の多様さなど、生物に見られるさまざまな違いを何というか。","生物多様性","生態系","",""
"rika-kankyou","q-02","ある地域に生息する、同じ種類の生物の集まりを何というか。","個体群","生態系","",""
"rika-kankyou","q-03","ある地域に生息する、さまざまな種類の生物の集まりを何というか。","生物群集","生態系","",""
"rika-kankyou","q-04","ある地域の生物群集と、それを取り巻く環境を合わせたまとまりを何というか。","生態系","生態系","",""
"rika-kankyou","q-05","もともとその地域にいなかったのに、人間の活動によって持ち込まれた生物を何というか。","外来種","生物多様性","",""
"rika-kankyou","q-06","絶滅するおそれがある生物の種類を何というか。","絶滅危惧種","生物多様性","",""
"rika-kankyou","q-07","その種類の生物が地球上から一個体もいなくなることを何というか。","絶滅","生物多様性","",""
"rika-kankyou","q-08","絶滅のおそれがある生物の生息状況などをまとめた資料を何というか。","レッドデータブック","生物多様性","",""
"rika-kankyou","q-09","道路や都市の開発などによって、生物が生活する場所が失われることを何というか。","生息地破壊","環境問題","",""
"rika-kankyou","q-10","生物の種類や生態系を守り、将来にわたって維持することを何というか。","環境保全","環境保全","",""
"rika-kankyou","q-11","生物やその生息地を守るために、開発などを制限して保護する地域を何というか。","自然保護区","環境保全","",""
"rika-kankyou","q-12","海や川などに有害物質やごみが入り、水質が悪化することを何というか。","水質汚濁","環境問題","",""
"rika-kankyou","q-13","工場の排煙や自動車の排出ガスなどによって、空気が汚れることを何というか。","大気汚染","環境問題","",""
"rika-kankyou","q-14","川や湖に窒素やリンを含む物質が流れ込み、植物プランクトンなどが増えすぎる現象を何というか。","富栄養化","環境問題","",""
"rika-kankyou","q-15","海や沿岸で植物プランクトンが異常に増殖し、水の色が赤褐色などに変わる現象を何というか。","赤潮","環境問題","",""
"rika-kankyou","q-16","湖や池で、藍藻類などが大量に増殖して水面が緑色になる現象を何というか。","アオコ","環境問題","",""
"rika-kankyou","q-17","生物の体内に取り込まれた有害物質が、食物連鎖の上位ほど濃くなる現象を何というか。","生物濃縮","環境問題","",""
"rika-kankyou","q-18","大気中の二酸化炭素などが地表から出る熱を吸収する働きを何というか。","温室効果","地球環境","",""
"rika-kankyou","q-19","温室効果が強まり、地球全体の平均気温が上昇することを何というか。","地球温暖化","地球環境","",""
"rika-kankyou","q-20","成層圏にあり、生物に有害な紫外線を吸収する層を何というか。","オゾン層","地球環境","",""
"rika-kankyou","q-21","環境を守りながら資源を利用し、将来の世代も利用できるようにする考え方を何というか。","持続可能性","環境保全","",""
"rika-kankyou","q-22","開発を行う前に、環境への影響を調査・予測・評価することを何というか。","環境アセスメント","環境保全","環境影響評価",""
