quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"rekishi-azuchi","q-01","次の説明にあてはまる語句を答えなさい。
「織田信長が今川義元を破った戦い」","桶狭間の戦い","近世","","",""
"rekishi-azuchi","q-02","「桶狭間の戦い」は西暦何年のことか。数字で答えなさい。","1560","近世","1560年","",""
"rekishi-azuchi","q-03","次の説明にあてはまる語句を答えなさい。
「織田・徳川の連合軍が鉄砲を大量に使って武田軍を破った戦い」","長篠の戦い","近世","","",""
"rekishi-azuchi","q-04","「長篠の戦い」は西暦何年のことか。数字で答えなさい。","1575","近世","1575年","",""
"rekishi-azuchi","q-05","次の説明にあてはまる人物はだれか。
「楽市・楽座や関所の廃止を行い、長篠の戦いで鉄砲を活用した」","織田信長","近世","","",""
"rekishi-azuchi","q-06","次の説明にあてはまる語句を答えなさい。
「明智光秀にそむかれて織田信長が自害した事件」","本能寺の変","近世","","",""
"rekishi-azuchi","q-07","「本能寺の変」は西暦何年のことか。数字で答えなさい。","1582","近世","1582年","",""
"rekishi-azuchi","q-08","次の説明にあてはまる語句を答えなさい。
「全国の田畑の面積と収穫高を調べ、年貢を確実に取るために行われた土地の調査」","太閤検地","近世","","",""
"rekishi-azuchi","q-09","次の説明にあてはまる人物はだれか。
「太閤検地と刀狩を行い、兵農分離を進めて全国を統一した」","豊臣秀吉","近世","","",""
"rekishi-azuchi","q-10","次の説明にあてはまる語句を答えなさい。
「百姓から武器を取り上げ、一揆を防ぐために行われた政策」","刀狩","近世","","",""
"rekishi-azuchi","q-11","「刀狩」は西暦何年のことか。数字で答えなさい。","1588","近世","1588年","",""
"rekishi-azuchi","q-12","次の説明にあてはまる語句を答えなさい。
「織田信長が城下町で行った、市の税を免除し座の特権を廃止した政策」","楽市・楽座","近世","","",""
"rekishi-azuchi","q-13","次の説明にあてはまる語句を答えなさい。
「検地と刀狩によって、武士と農民の身分がはっきり分けられたこと」","兵農分離","近世","","",""
"rekishi-azuchi","q-14","次の説明にあてはまる語句を答えなさい。
「安土桃山時代の、大名や大商人の富を反映した豪華で雄大な文化」","桃山文化","近世","","",""
"rekishi-azuchi","q-15","次の説明にあてはまる語句を答えなさい。
「簡素さの中に美を見いだす茶の湯。安土桃山時代に大成された」","わび茶","近世","","",""
"rekishi-azuchi","q-16","次の説明にあてはまる人物はだれか。
「質素なわび茶を大成し、茶の湯を芸術の域に高めた」","千利休","近世","","",""
