"quiz_id","item_key","label","answer","category","accept","extra_json","explanation"
"rekishi-edo-koki","kyoho","次の説明にあてはまる語句を答えなさい。
「目安箱の設置や公事方御定書の制定を行った、江戸幕府の改革」","享保の改革","近世","","",""
"rekishi-edo-koki","kyoho-year","「享保の改革」は西暦何年のことか。数字で答えなさい。","1716","近世","1716年","",""
"rekishi-edo-koki","kyoho-person","次の説明にあてはまる人物はだれか。
「享保の改革を行い、目安箱を設置した」","徳川吉宗","近世","","",""
"rekishi-edo-koki","tanuma","次の説明にあてはまる語句を答えなさい。
「18世紀後半、株仲間を奨励し商人の力を利用して幕府の財政を立て直そうとした老中」","田沼意次","近世","","",""
"rekishi-edo-koki","tanuma-person","次の説明にあてはまる人物はだれか。
「株仲間を奨励し、商業の力を利用した政治を行ったが、わいろが横行して失脚した」","田沼意次","近世","","",""
"rekishi-edo-koki","kansei","次の説明にあてはまる語句を答えなさい。
「ききんに備えて米をたくわえさせ、質素倹約を命じた江戸幕府の改革」","寛政の改革","近世","","",""
"rekishi-edo-koki","kansei-year","「寛政の改革」は西暦何年のことか。数字で答えなさい。","1787","近世","1787年","",""
"rekishi-edo-koki","kansei-person","次の説明にあてはまる人物はだれか。
「寛政の改革を行った」","松平定信","近世","","",""
"rekishi-edo-koki","tenmei","次の説明にあてはまる語句を答えなさい。
「18世紀後半、冷害や浅間山の噴火によって起こった大ききん。打ちこわしが各地で起きた」","天明のききん","近世","","",""
"rekishi-edo-koki","tenpo","次の説明にあてはまる語句を答えなさい。
「物価を下げようと商人の同業組合を解散させたが、2年余りで失敗した改革」","天保の改革","近世","","",""
"rekishi-edo-koki","tenpo-year","「天保の改革」は西暦何年のことか。数字で答えなさい。","1841","近世","1841年","",""
"rekishi-edo-koki","tenpo-person","次の説明にあてはまる人物はだれか。
「天保の改革を行い、株仲間を解散させた」","水野忠邦","近世","","",""
"rekishi-edo-koki","oshio","次の説明にあてはまる語句を答えなさい。
「ききんに苦しむ人々を救おうと、もと幕府の役人が大阪で起こした反乱」","大塩平八郎の乱","近世","大塩の乱","",""
"rekishi-edo-koki","oshio-year","「大塩平八郎の乱」は西暦何年のことか。数字で答えなさい。","1837","近世","1837年","",""
"rekishi-edo-koki","uchiharai","次の説明にあてはまる語句を答えなさい。
「日本に近づく外国船を追い払うことを命じた幕府の法令」","異国船打払令","近世","外国船打払令|無二念打払令","",""
"rekishi-edo-koki","uchiharai-year","「異国船打払令」は西暦何年のことか。数字で答えなさい。","1825","近世","1825年","",""
"rekishi-edo-koki","kabunakama","次の説明にあてはまる語句を答えなさい。
「幕府や藩に公認され、営業を独占した商工業者の同業組合」","株仲間","近世","","",""
"rekishi-edo-koki","uchikowashi","次の説明にあてはまる語句を答えなさい。
「ききんや物価の上昇に苦しむ都市の民衆が、米屋などをおそった行動」","打ちこわし","近世","","",""
"rekishi-edo-koki","manufacture","次の説明にあてはまる語句を答えなさい。
「作業場に人を集め、分業によって製品をつくる仕組み。マニュファクチュアともいう」","工場制手工業","近世","マニュファクチュア","",""
"rekishi-edo-koki","kasei","次の説明にあてはまる語句を答えなさい。
「19世紀初め、江戸の町人を中心に栄えた、しゃれや皮肉を好む文化」","化政文化","近世","","",""
"rekishi-edo-koki","ukiyoe","次の説明にあてはまる語句を答えなさい。
「町人の風俗をえがいた絵。木版画として大量に刷られ、庶民にも広まった」","浮世絵","近世","","",""
"rekishi-edo-koki","hokusai","次の説明にあてはまる語句を答えなさい。
「さまざまな場所から見た富士山をえがいた風景画集」","富嶽三十六景","近世","富岳三十六景","",""
"rekishi-edo-koki","hokusai-person","次の説明にあてはまる人物はだれか。
「『富嶽三十六景』をえがき、風景版画で人気を集めた」","葛飾北斎","近世","","",""
"rekishi-edo-koki","hiroshige","次の説明にあてはまる語句を答えなさい。
「江戸から京都までの宿場をえがいた風景画集」","東海道五十三次","近世","","",""
"rekishi-edo-koki","hiroshige-person","次の説明にあてはまる人物はだれか。
「『東海道五十三次』をえがいた」","歌川広重","近世","","",""
"rekishi-edo-koki","rangaku","次の説明にあてはまる語句を答えなさい。
「オランダ語を通じてヨーロッパの学問や技術を学ぶ学問」","蘭学","近世","","",""
"rekishi-edo-koki","kaitai","次の説明にあてはまる語句を答えなさい。
「オランダ語の人体解剖書を翻訳して出版された医学書」","解体新書","近世","","",""
"rekishi-edo-koki","kaitai-year","「解体新書」は西暦何年のことか。数字で答えなさい。","1774","近世","1774年","",""
"rekishi-edo-koki","kaitai-person","次の説明にあてはまる人物はだれか。
「前野良沢らとオランダ語の解剖書を訳し、『解体新書』を出版した」","杉田玄白","近世","","",""
"rekishi-edo-koki","kokugaku","次の説明にあてはまる語句を答えなさい。
「仏教や儒教が伝わる前の、日本古来の考え方を明らかにしようとする学問」","国学","近世","","",""
"rekishi-edo-koki","kokugaku-person","次の説明にあてはまる人物はだれか。
「『古事記伝』を著し、国学を大成した」","本居宣長","近世","","",""
"rekishi-edo-koki","inou","次の説明にあてはまる語句を答えなさい。
「全国を測量してつくられた、正確な日本地図」","大日本沿海輿地全図","近世","伊能図","",""
"rekishi-edo-koki","inou-year","「大日本沿海輿地全図」は西暦何年のことか。数字で答えなさい。","1821","近世","1821年","",""
"rekishi-edo-koki","inou-person","次の説明にあてはまる人物はだれか。
「全国を歩いて測量し、正確な日本地図のもとをつくった」","伊能忠敬","近世","","",""
