quiz_id,item_key,label,answer,category,accept,extra_json
"rekishi-edo-zenki","sekigahara","次の説明にあてはまる語句を答えなさい。
「1600年、徳川家康が石田三成らを破り、天下の実権をにぎった戦い」","関ヶ原の戦い","近世","",""
"rekishi-edo-zenki","sekigahara-year","「関ヶ原の戦い」は西暦何年のことか。数字で答えなさい。","1600","近世","1600年",""
"rekishi-edo-zenki","edobakufu","次の説明にあてはまる語句を答えなさい。
「1603年、徳川家康が征夷大将軍となって開いた幕府」","江戸幕府","近世","",""
"rekishi-edo-zenki","edobakufu-year","「江戸幕府」は西暦何年のことか。数字で答えなさい。","1603","近世","1603年",""
"rekishi-edo-zenki","edobakufu-person","次の説明にあてはまる人物はだれか。
「関ヶ原の戦いに勝ち、江戸に幕府を開いた」","徳川家康","近世","",""
"rekishi-edo-zenki","bukeshohatto","次の説明にあてはまる語句を答えなさい。
「1615年に定められた、大名を統制するためのきまり」","武家諸法度","近世","",""
"rekishi-edo-zenki","bukeshohatto-year","「武家諸法度」は西暦何年のことか。数字で答えなさい。","1615","近世","1615年",""
"rekishi-edo-zenki","sankinkotai","次の説明にあてはまる語句を答えなさい。
「1635年に制度化された、大名が1年おきに江戸と領地を行き来するきまり」","参勤交代","近世","",""
"rekishi-edo-zenki","sankinkotai-year","「参勤交代」は西暦何年のことか。数字で答えなさい。","1635","近世","1635年",""
"rekishi-edo-zenki","sankinkotai-person","次の説明にあてはまる人物はだれか。
「参勤交代を制度化し、鎖国を完成させた」","徳川家光","近世","",""
"rekishi-edo-zenki","tozama","次の説明にあてはまる語句を答えなさい。
「関ヶ原の戦いのころから徳川氏に従った大名。江戸から遠い地に配置された」","外様大名","近世","",""
"rekishi-edo-zenki","goningumi","次の説明にあてはまる語句を答えなさい。
「近くの5戸ほどを組にして、年貢の納入や犯罪の防止に連帯責任を負わせた仕組み」","五人組","近世","",""
"rekishi-edo-zenki","shimabara","次の説明にあてはまる語句を答えなさい。
「1637年、重い年貢とキリスト教の弾圧に苦しむ人々が天草四郎を中心に起こした一揆」","島原・天草一揆","近世","",""
"rekishi-edo-zenki","shimabara-year","「島原・天草一揆」は西暦何年のことか。数字で答えなさい。","1637","近世","1637年",""
"rekishi-edo-zenki","sakoku","次の説明にあてはまる語句を答えなさい。
「1641年に完成した、貿易相手と場所を幕府が厳しく制限した体制。長崎の出島でオランダと中国のみ交易した」","鎖国","近世","",""
"rekishi-edo-zenki","sakoku-year","「鎖国」は西暦何年のことか。数字で答えなさい。","1641","近世","1641年",""
"rekishi-edo-zenki","dejima","次の説明にあてはまる語句を答えなさい。
「鎖国中、オランダとの貿易のために長崎につくられた扇形の人工島」","出島","近世","",""
"rekishi-edo-zenki","shuinsen","次の説明にあてはまる語句を答えなさい。
「江戸時代初め、幕府の許可状を得た船が東南アジアと行った貿易」","朱印船貿易","近世","",""
"rekishi-edo-zenki","shorui","次の説明にあてはまる語句を答えなさい。
「徳川綱吉が出した、犬をはじめ生き物を大切にすることを命じた極端な法令」","生類憐みの令","近世","生類憐れみの令|生類あわれみの令",""
"rekishi-edo-zenki","shorui-person","次の説明にあてはまる人物はだれか。
「生類憐みの令を出し、学問を重んじる政治を行った」","徳川綱吉","近世","",""
"rekishi-edo-zenki","shinden","次の説明にあてはまる語句を答えなさい。
「年貢を増やすため、湿地や海辺を干拓するなどして新しい田を開いたこと」","新田開発","近世","",""
"rekishi-edo-zenki","gonin","次の説明にあてはまる語句を答えなさい。
「江戸の日本橋を起点として整備された、東海道・中山道など5つの主要道路」","五街道","近世","",""
"rekishi-edo-zenki","kurayashiki","次の説明にあてはまる語句を答えなさい。
「諸藩が年貢米や特産物を売りさばくために大阪などに置いた倉庫」","蔵屋敷","近世","",""
"rekishi-edo-zenki","genroku","次の説明にあてはまる語句を答えなさい。
「17世紀末から18世紀初め、上方(京都・大阪)の町人を担い手として栄えた文化」","元禄文化","近世","",""
"rekishi-edo-zenki","ukiyozoshi","次の説明にあてはまる語句を答えなさい。
「町人の暮らしや欲望をありのままにえがいた小説。井原西鶴が代表」","浮世草子","近世","",""
"rekishi-edo-zenki","ukiyozoshi-person","次の説明にあてはまる人物はだれか。
「『日本永代蔵』などの浮世草子で町人の生活をえがいた」","井原西鶴","近世","",""
"rekishi-edo-zenki","haikai","次の説明にあてはまる語句を答えなさい。
「五・七・五の形式の文芸。松尾芭蕉が芸術性を高めた」","俳諧","近世","",""
"rekishi-edo-zenki","haikai-person","次の説明にあてはまる人物はだれか。
「各地を旅して『おくのほそ道』を著し、俳諧を芸術に高めた」","松尾芭蕉","近世","",""
"rekishi-edo-zenki","joruri","次の説明にあてはまる語句を答えなさい。
「人形をあやつって物語を演じる芸能。近松門左衛門が脚本を書いた」","人形浄瑠璃","近世","",""
"rekishi-edo-zenki","joruri-person","次の説明にあてはまる人物はだれか。
「『曽根崎心中』などの人形浄瑠璃・歌舞伎の脚本を書いた」","近松門左衛門","近世","",""
