quiz_id,item_key,label,answer,category,accept,extra_json
"rika-bunrui","q-01","生物を、共通点や相違点を基準にして仲間分けすることを何というか。","分類","生物の分類","",""
"rika-bunrui","q-02","背骨をもつ動物をまとめて何というか。","脊椎動物","動物の分類","せきつい動物",""
"rika-bunrui","q-03","背骨をもたない動物をまとめて何というか。","無脊椎動物","動物の分類","むせきつい動物",""
"rika-bunrui","q-04","一生を主に水中で過ごし、えらで呼吸する脊椎動物の仲間を何というか。","魚類","脊椎動物","",""
"rika-bunrui","q-05","子どもの時期を水中で過ごし、成長すると肺や皮膚で呼吸する脊椎動物の仲間を何というか。","両生類","脊椎動物","",""
"rika-bunrui","q-06","体表がうろこや硬い皮膚で覆われ、肺で呼吸する脊椎動物の仲間を何というか。","は虫類","脊椎動物","爬虫類|はちゅう類|はちゅうるい",""
"rika-bunrui","q-07","体表が羽毛で覆われ、前あしが翼になっている脊椎動物の仲間を何というか。","鳥類","脊椎動物","",""
"rika-bunrui","q-08","体表が毛で覆われ、子を乳で育てる脊椎動物の仲間を何というか。","哺乳類","脊椎動物","",""
"rika-bunrui","q-09","体が節に分かれ、関節のあるあしをもつ無脊椎動物の仲間を何というか。","節足動物","無脊椎動物","",""
"rika-bunrui","q-10","節足動物のうち、頭部・胸部・腹部の3部分に分かれ、3対のあしをもつ仲間を何というか。","昆虫類","節足動物","昆虫",""
"rika-bunrui","q-11","エビやカニのように、体が頭胸部と腹部に分かれ、あしに節がある仲間を何というか。","甲殻類","節足動物","こうかく類",""
"rika-bunrui","q-12","アサリやイカのように、節のない柔らかい体をもつ無脊椎動物の仲間を何というか。","軟体動物","無脊椎動物","",""
"rika-bunrui","q-13","種子をつくってなかまをふやす植物を何というか。","種子植物","植物の分類","",""
"rika-bunrui","q-14","種子が果実の中に包まれている植物を何というか。","被子植物","種子植物","",""
"rika-bunrui","q-15","子房がなく、胚珠がむき出しになっている植物を何というか。","裸子植物","種子植物","",""
"rika-bunrui","q-16","胞子でなかまをふやし、根・茎・葉の区別がある植物を何というか。","シダ植物","植物の分類","",""
"rika-bunrui","q-17","胞子でなかまをふやし、根・茎・葉の区別がはっきりしない植物を何というか。","コケ植物","植物の分類","",""
"rika-bunrui","q-18","発芽したときに子葉が1枚の被子植物を何というか。","単子葉類","被子植物","単子葉植物",""
"rika-bunrui","q-19","発芽したときに子葉が2枚の被子植物を何というか。","双子葉類","被子植物","双子葉植物",""
"rika-bunrui","q-20","シダ植物やコケ植物が、なかまをふやすときにつくるものを何というか。","胞子","植物の分類","",""
