quiz_id,item_key,label,answer,category,accept,extra_json
chizu-kigou,jinja,神社,神社,建物・施設,,"{""hint"":""鳥居をかたどっている""}"
chizu-kigou,jiin,寺院,寺院,建物・施設,寺|お寺,"{""hint"":""仏教に由来する印をかたどっている""}"
chizu-kigou,yubinkyoku,郵便局,郵便局,建物・施設,,"{""hint"":""郵便のマークを丸で囲んでいる""}"
chizu-kigou,shochugakko,小・中学校,小・中学校,建物・施設,小中学校|小学校・中学校|小学校|中学校,"{""hint"":""「文」の字をかたどっている""}"
chizu-kigou,kotogakko,高等学校,高等学校,建物・施設,高校,"{""hint"":""「文」の字を丸で囲んでいる""}"
chizu-kigou,shiyakusho,市役所,市役所,建物・施設,,"{""hint"":""二重丸で表す""}"
chizu-kigou,choson-yakuba,町村役場,町村役場,建物・施設,,"{""hint"":""丸ひとつで表す""}"
chizu-kigou,koban,交番,交番,建物・施設,,"{""hint"":""警棒を2本交差させた形""}"
chizu-kigou,keisatsusho,警察署,警察署,建物・施設,,"{""hint"":""交差した警棒を丸で囲んでいる""}"
chizu-kigou,shobosho,消防署,消防署,建物・施設,,"{""hint"":""昔の消火道具「さすまた」の形""}"
chizu-kigou,kojo,工場,工場,建物・施設,,"{""hint"":""機械の歯車をかたどっている。2013年の改訂で廃止され、今の地形図には使われていない""}"
chizu-kigou,toshokan,図書館,図書館,建物・施設,,"{""hint"":""開いた本の形""}"
chizu-kigou,hakubutsukan,博物館,博物館,建物・施設,,"{""hint"":""柱のある建物をかたどっている""}"
chizu-kigou,rojin-home,老人ホーム,老人ホーム,建物・施設,,"{""hint"":""建物の中に杖が描かれている""}"
chizu-kigou,todai,灯台,灯台,建物・施設,,"{""hint"":""光を放つ様子をかたどっている""}"
chizu-kigou,minato,港,港,建物・施設,,"{""hint"":""船の錨をかたどっている""}"
chizu-kigou,onsen,温泉,温泉,自然・その他,,"{""hint"":""湯気が立ちのぼる様子""}"
chizu-kigou,sankakuten,三角点,三角点,自然・その他,,"{""hint"":""測量の基準となる点。三角形で表す""}"
chizu-kigou,chabatake,茶畑,茶畑,土地利用,,"{""hint"":""茶の実を3つ並べた形""}"
chizu-kigou,kuwabatake,桑畑,桑畑,土地利用,,"{""hint"":""桑の木の枝ぶりをかたどっている。2013年の改訂で廃止され、今の地形図には使われていない""}"
chizu-kigou,koyojurin,広葉樹林,広葉樹林,土地利用,,"{""hint"":""丸い樹冠の木で表す""}"
chizu-kigou,shinyojurin,針葉樹林,針葉樹林,土地利用,,"{""hint"":""とがった樹冠の木で表す""}"
