quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"sekai-isan","q-01","次の説明にあてはまる世界遺産は？
「現存する世界最古の木造建築群として知られる仏教寺院」","法隆寺地域の仏教建造物","文化遺産","","{""year"":1993}",""
"sekai-isan","q-02","「法隆寺地域の仏教建造物」の所在都道府県を1つ答えなさい。","奈良県","文化遺産","","",""
"sekai-isan","q-03","「法隆寺地域の仏教建造物」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-04","次の説明にあてはまる世界遺産は？
「白鷺城とも呼ばれる、白い外観が美しい天守を持つ城」","姫路城","文化遺産","","{""year"":1993}",""
"sekai-isan","q-05","「姫路城」の所在都道府県を1つ答えなさい。","兵庫県","文化遺産","","",""
"sekai-isan","q-06","「姫路城」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-07","次の説明にあてはまる世界遺産は？
「清水寺や金閣寺など、古い都に残る社寺・城の総称」","古都京都の文化財","文化遺産","","{""year"":1994}",""
"sekai-isan","q-08","「古都京都の文化財」の所在都道府県を1つ答えなさい。","京都府","文化遺産","滋賀県","",""
"sekai-isan","q-09","「古都京都の文化財」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-10","次の説明にあてはまる世界遺産は？
「急な茅葺き屋根が特徴的な、豪雪地帯の伝統的な家屋群」","白川郷・五箇山の合掌造り集落","文化遺産","","{""year"":1995}",""
"sekai-isan","q-11","「白川郷・五箇山の合掌造り集落」の所在都道府県を1つ答えなさい。","岐阜県","文化遺産","富山県","",""
"sekai-isan","q-12","「白川郷・五箇山の合掌造り集落」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-13","次の説明にあてはまる世界遺産は？
「原子爆弾の惨禍を伝える、骨組みだけが残された建物」","原爆ドーム","文化遺産","","{""year"":1996}",""
"sekai-isan","q-14","「原爆ドーム」の所在都道府県を1つ答えなさい。","広島県","文化遺産","","",""
"sekai-isan","q-15","「原爆ドーム」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-16","次の説明にあてはまる世界遺産は？
「海上に立つ朱色の大鳥居で知られる神社」","厳島神社","文化遺産","","{""year"":1996}",""
"sekai-isan","q-17","「厳島神社」の所在都道府県を1つ答えなさい。","広島県","文化遺産","","",""
"sekai-isan","q-18","「厳島神社」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-19","次の説明にあてはまる世界遺産は？
「東大寺や興福寺など、かつての都に残る寺社群」","古都奈良の文化財","文化遺産","","{""year"":1998}",""
"sekai-isan","q-20","「古都奈良の文化財」の所在都道府県を1つ答えなさい。","奈良県","文化遺産","","",""
"sekai-isan","q-21","「古都奈良の文化財」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-22","次の説明にあてはまる世界遺産は？
「「見ざる言わざる聞かざる」の彫刻で知られる東照宮を含む社寺群」","日光の社寺","文化遺産","","{""year"":1999}",""
"sekai-isan","q-23","「日光の社寺」の所在都道府県を1つ答えなさい。","栃木県","文化遺産","","",""
"sekai-isan","q-24","「日光の社寺」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-25","次の説明にあてはまる世界遺産は？
「首里城跡を中心とする、かつての王国の城・聖地群」","琉球王国のグスク及び関連遺産群","文化遺産","","{""year"":2000}",""
"sekai-isan","q-26","「琉球王国のグスク及び関連遺産群」の所在都道府県を1つ答えなさい。","沖縄県","文化遺産","","",""
"sekai-isan","q-27","「琉球王国のグスク及び関連遺産群」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-28","次の説明にあてはまる世界遺産は？
「熊野古道など、山岳信仰の霊場と参詣道からなる遺産」","紀伊山地の霊場と参詣道","文化遺産","","{""year"":2004}",""
"sekai-isan","q-29","「紀伊山地の霊場と参詣道」の所在都道府県を1つ答えなさい。","三重県","文化遺産","奈良県|和歌山県","",""
"sekai-isan","q-30","「紀伊山地の霊場と参詣道」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-31","次の説明にあてはまる世界遺産は？
「かつて世界有数の産出量を誇った、銀の採掘・精錬の遺跡」","石見銀山遺跡とその文化的景観","文化遺産","","{""year"":2007}",""
"sekai-isan","q-32","「石見銀山遺跡とその文化的景観」の所在都道府県を1つ答えなさい。","島根県","文化遺産","","",""
"sekai-isan","q-33","「石見銀山遺跡とその文化的景観」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-34","次の説明にあてはまる世界遺産は？
「中尊寺金色堂など、浄土思想を表す寺院・庭園群」","平泉","文化遺産","","{""year"":2011}",""
"sekai-isan","q-35","「平泉」の所在都道府県を1つ答えなさい。","岩手県","文化遺産","","",""
"sekai-isan","q-36","「平泉」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-37","次の説明にあてはまる世界遺産は？
「信仰の対象であり、多くの芸術作品の題材となった日本一の山」","富士山","文化遺産","","{""year"":2013}",""
"sekai-isan","q-38","「富士山」の所在都道府県を1つ答えなさい。","山梨県","文化遺産","静岡県","",""
"sekai-isan","q-39","「富士山」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-40","次の説明にあてはまる世界遺産は？
「明治時代に建てられた、日本の近代製糸業を支えた工場」","富岡製糸場と絹産業遺産群","文化遺産","","{""year"":2014}",""
"sekai-isan","q-41","「富岡製糸場と絹産業遺産群」の所在都道府県を1つ答えなさい。","群馬県","文化遺産","","",""
"sekai-isan","q-42","「富岡製糸場と絹産業遺産群」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-43","次の説明にあてはまる世界遺産は？
「製鉄・製鋼、造船、石炭産業に関する、幕末から明治期の産業施設群」","明治日本の産業革命遺産","文化遺産","","{""year"":2015}",""
"sekai-isan","q-44","「明治日本の産業革命遺産」の所在都道府県を1つ答えなさい。","福岡県","文化遺産","佐賀県|長崎県|熊本県|鹿児島県|山口県|岩手県|静岡県","",""
"sekai-isan","q-45","「明治日本の産業革命遺産」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
"sekai-isan","q-46","次の説明にあてはまる世界遺産は？
「フランス人建築家が設計した、上野にある美術館を含む国際的な建築群」","ル・コルビュジエの建築作品","文化遺産","国立西洋美術館","{""year"":2016}",""
"sekai-isan","q-47","「ル・コルビュジエの建築作品」の所在都道府県を1つ答えなさい。","東京都","文化遺産","","",""
"sekai-isan","q-48","「ル・コルビュジエの建築作品」は文化遺産・自然遺産のどちらに分類される？","文化遺産","文化遺産","","",""
