quiz_id,item_key,label,answer,category,accept,extra_json
"rekishi-nara","heijokyo","次の説明にあてはまる語句を答えなさい。
「奈良につくられた、唐の長安にならった都」","平城京","古代","",""
"rekishi-nara","heijokyo-year","「平城京」は西暦何年のことか。数字で答えなさい。","710","古代","710年",""
"rekishi-nara","konden","次の説明にあてはまる語句を答えなさい。
「新しく開墾した土地の永久私有を認めた法。公地公民の原則がくずれるきっかけになった」","墾田永年私財法","古代","",""
"rekishi-nara","konden-year","「墾田永年私財法」は西暦何年のことか。数字で答えなさい。","743","古代","743年",""
"rekishi-nara","todaiji","次の説明にあてはまる語句を答えなさい。
「仏教の力で国を守ろうとしてつくられた、奈良の大仏」","東大寺の大仏","古代","大仏|奈良の大仏|盧舎那仏",""
"rekishi-nara","todaiji-year","「東大寺の大仏」は西暦何年のことか。数字で答えなさい。","752","古代","752年",""
"rekishi-nara","todaiji-person","次の説明にあてはまる人物はだれか。
「仏教の力で国を守ろうと、国分寺と東大寺の大仏をつくらせた」","聖武天皇","古代","",""
"rekishi-nara","kojiki","次の説明にあてはまる語句を答えなさい。
「奈良時代にまとめられた、日本最古の歴史書」","古事記","古代","",""
"rekishi-nara","kojiki-year","「古事記」は西暦何年のことか。数字で答えなさい。","712","古代","712年",""
"rekishi-nara","nihonshoki","次の説明にあてはまる語句を答えなさい。
「奈良時代にまとめられた、国家の正式な歴史書」","日本書紀","古代","",""
"rekishi-nara","nihonshoki-year","「日本書紀」は西暦何年のことか。数字で答えなさい。","720","古代","720年",""
"rekishi-nara","manyoshu","次の説明にあてはまる語句を答えなさい。
「奈良時代にまとめられた、天皇から農民まで幅広い人々の歌をおさめた歌集」","万葉集","古代","",""
"rekishi-nara","tenpyo","次の説明にあてはまる語句を答えなさい。
「奈良時代、聖武天皇のころに栄えた、遣唐使が伝えた唐の影響が強い国際的な仏教文化」","天平文化","古代","",""
"rekishi-nara","shosoin","次の説明にあてはまる語句を答えなさい。
「東大寺にある倉。遣唐使が持ち帰った西アジアやインドの品もおさめられている」","正倉院","古代","",""
"rekishi-nara","ganjin","次の説明にあてはまる語句を答えなさい。
「何度も渡航に失敗し、失明しながら来日した唐の僧が奈良に建てた寺」","唐招提寺","古代","",""
"rekishi-nara","ganjin-person","次の説明にあてはまる人物はだれか。
「何度も遭難しながら来日し、正しい仏教の戒律を伝えて唐招提寺を建てた」","鑑真","古代","",""
