quiz_id,item_key,label,answer,category,extra_json
"nihon-chiri","todofuken-1","ここは日本列島の最北に位置し、都道府県の中で面積が最も広い。冬の寒さが厳しく、流氷が接岸する海岸もある。じゃがいもや小麦などの畑作、酪農が盛んで、世界遺産・知床が含まれる。これはどこの都道府県か。","北海道","todofuken","{""region"":""hokkaido""}"
"nihon-chiri","todofuken-2","ここは本州最北端に位置し、津軽海峡を挟んで北海道と向かい合う。日本海と太平洋の両方に面する数少ない県の一つである。りんごの生産量が全国一位で、世界遺産・白神山地のブナ原生林も広がる。これはどこの都道府県か。","青森県","todofuken","{""region"":""tohoku""}"
"nihon-chiri","todofuken-3","ここは東北地方の太平洋側に位置し、面積は北海道に次いで全国2位の広さである。三陸海岸はリアス海岸が続き、漁業が盛んである。世界遺産「平泉」の中尊寺金色堂があることでも知られる。これはどこの都道府県か。","岩手県","todofuken","{""region"":""tohoku""}"
"nihon-chiri","todofuken-4","ここは東北地方の太平洋側に位置し、東北地方の中心都市を県庁所在地とする。日本三景の一つに数えられる松島がある。牛タン料理でも知られる。これはどこの都道府県か。","宮城県","todofuken","{""region"":""tohoku""}"
"nihon-chiri","todofuken-5","ここは東北地方の日本海側に位置する。あきたこまちなど米の産地として知られ、世界遺産・白神山地の一部もまたがる。なまはげと呼ばれる伝統行事が伝わる。これはどこの都道府県か。","秋田県","todofuken","{""region"":""tohoku""}"
"nihon-chiri","todofuken-6","ここは東北地方の日本海側に位置する。さくらんぼの生産量が全国一位で、将棋の駒の生産地としても知られる。蔵王の樹氷でも有名である。これはどこの都道府県か。","山形県","todofuken","{""region"":""tohoku""}"
"nihon-chiri","todofuken-7","ここは東北地方の最南端に位置し、東は太平洋に面する。東北地方の中で最も面積が広い。ももの産地としても知られる。これはどこの都道府県か。","福島県","todofuken","{""region"":""tohoku""}"
"nihon-chiri","todofuken-8","ここは関東地方の北東部に位置し、太平洋に面する。日本で2番目に大きい湖である霞ヶ浦がある。納豆や、メロン・レンコンなどの農産物の生産量が高いことで知られる。これはどこの都道府県か。","茨城県","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-9","ここは関東地方の内陸県で、海に面していない。世界遺産・日光の社寺があり、いちごの生産量は全国一位である。これはどこの都道府県か。","栃木県","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-10","ここは関東地方北西部の内陸県である。世界遺産・富岡製糸場があり、こんにゃくいもの生産量は全国一位である。草津温泉など温泉地も多い。これはどこの都道府県か。","群馬県","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-11","ここは関東地方の内陸県で、東京都の北に隣接する。海に面していない。小江戸と呼ばれる古い町並みが残る川越市や、草加せんべいで知られる。これはどこの都道府県か。","埼玉県","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-12","ここは関東地方に位置し、房総半島の大部分を占め、三方を海に囲まれる。成田国際空港があり、落花生の生産量は全国一位である。これはどこの都道府県か。","千葉県","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-13","ここは日本の首都であり、人口は全国で最も多い。かつて江戸と呼ばれ、伊豆諸島や小笠原諸島も含まれる。これはどこの都道府県か。","東京都","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-14","ここは関東地方に位置し、東京都の南に隣接して太平洋に面する。横浜港などの港町が発展し、鎌倉の大仏でも知られる。これはどこの都道府県か。","神奈川県","todofuken","{""region"":""kanto""}"
"nihon-chiri","todofuken-15","ここは日本海に面し、日本で最も長い信濃川の下流域が広がる。米どころとして知られ、コシヒカリの名産地である。世界遺産・佐渡島の金山がある。これはどこの都道府県か。","新潟県","todofuken","{""region"":""chubu""}"
"nihon-chiri","todofuken-16","ここは日本海に面し、立山連峰と富山湾に挟まれる。ホタルイカ漁で知られ、チューリップの球根の生産も盛んである。これはどこの都道府県か。","富山県","todofuken","{""region"":""chubu""}"
"nihon-chiri","todofuken-17","ここは日本海に突き出た能登半島を含む。かつて加賀百万石と呼ばれた城下町が発展し、金箔の生産量は全国一位である。これはどこの都道府県か。","石川県","todofuken","{""region"":""chubu""}"
