quiz_id,item_key,label,answer,category,accept,extra_json
"rika-haishutsu","q-01","細胞の活動で生じた不要な物質を、体外へ出す働きを何というか。","排出","排出","",""
"rika-haishutsu","q-02","細胞の呼吸で生じた二酸化炭素を、主に体外へ出す器官は何か。","肺","排出","",""
"rika-haishutsu","q-03","皮膚から水や塩分などを含む液体が体外へ出る現象を何というか。","発汗","排出","",""
"rika-haishutsu","q-04","発汗によって皮膚から体外へ出る液体を何というか。","汗","排出","",""
"rika-haishutsu","q-05","汗をつくって体外へ出す器官を何というか。","汗腺","排出","",""
"rika-haishutsu","q-06","タンパク質が分解されたときに生じる、体にとって有害な物質を何というか。","アンモニア","排出","",""
"rika-haishutsu","q-07","肝臓でアンモニアからつくられ、尿として体外へ排出される物質を何というか。","尿素","肝臓","",""
"rika-haishutsu","q-08","アンモニアを、より害の少ない尿素に変える器官は何か。","肝臓","肝臓","",""
"rika-haishutsu","q-09","肝臓で、体に有害な物質を害の少ない物質に変える働きを何というか。","解毒","肝臓","解毒作用",""
"rika-haishutsu","q-10","肝臓で、余分なブドウ糖からつくられ、貯蔵される物質を何というか。","グリコーゲン","肝臓","グリコゲン",""
"rika-haishutsu","q-11","血液中の尿素などの不要物をこし取り、尿をつくる器官は何か。","腎臓","腎臓","",""
"rika-haishutsu","q-12","腎臓でつくられ、尿素や余分な水分などを含む液体を何というか。","尿","腎臓","",""
"rika-haishutsu","q-13","腎臓で血液からこし取られた尿が一時的にためられる器官は何か。","膀胱","尿","ぼうこう",""
"rika-haishutsu","q-14","膀胱にたまった尿を体外へ運ぶ管を何というか。","尿道","尿","",""
"rika-haishutsu","q-15","腎臓から膀胱へ尿を運ぶ左右一対の管を何というか。","輸尿管","尿","尿管",""
"rika-haishutsu","q-16","血液中の尿素を腎臓へ運ぶ液体成分は何か。","血しょう","血液","血漿|けっしょう",""
"rika-haishutsu","q-17","腎臓で、血液から尿素などの不要物をこし取る働きを何というか。","ろ過","腎臓","濾過|ろか",""
"rika-haishutsu","q-18","腎臓の働きによって、血液中の尿素の量は増えるか、減るか。","減る","腎臓","",""
