quiz_id,item_key,label,answer,category,accept,extra_json
"rika-iden","q-01","親から子へ伝わる、形や性質などの特徴を何というか。","形質","遺伝","",""
"rika-iden","q-02","親の形質が子に伝わる現象を何というか。","遺伝","遺伝","",""
"rika-iden","q-03","染色体にあり、形質を決めるもとになる情報を何というか。","遺伝子","遺伝子","",""
"rika-iden","q-04","遺伝子の本体である物質を何というか。","DNA","遺伝子","デオキシリボ核酸|ディーエヌエー",""
"rika-iden","q-05","遺伝子を含み、細胞分裂のときに核の中でひも状に見えるものを何というか。","染色体","遺伝子","",""
"rika-iden","q-06","遺伝の規則性を調べるため、親どうしをかけ合わせることを何というか。","交配","交配実験","",""
"rika-iden","q-07","メンデルが遺伝の実験に用いた植物は何か。","エンドウ","交配実験","",""
"rika-iden","q-08","代々、自家受粉を繰り返しても同じ形質が現れる個体を何というか。","純系","交配実験","",""
"rika-iden","q-09","2つの異なる形質をもつ純系を交配したとき、子に現れやすい形質を何というか。","顕性形質","遺伝の規則性","優性形質",""
"rika-iden","q-10","2つの異なる形質をもつ純系を交配したとき、子に現れにくく、孫の代などで現れる形質を何というか。","潜性形質","遺伝の規則性","劣性形質",""
"rika-iden","q-11","顕性形質と潜性形質のように、対になっている形質を何というか。","対立形質","遺伝の規則性","",""
"rika-iden","q-12","純系の顕性形質をもつ親と純系の潜性形質をもつ親を交配したときにできる子の代を何というか。","F1","交配実験","F₁|第一世代|子の代|子|子世代",""
"rika-iden","q-13","F1どうしを交配したときにできる孫の代を何というか。","F2","交配実験","F₂|第二世代|孫の代|孫|孫世代",""
"rika-iden","q-14","生殖細胞がつくられるとき、対になった遺伝子が分かれて別々の生殖細胞に入る法則を何というか。","分離の法則","遺伝の規則性","",""
"rika-iden","q-15","有性生殖で、生殖細胞をつくるときに行われる、染色体数を半分にする細胞分裂を何というか。","減数分裂","細胞分裂","",""
"rika-iden","q-16","顕性形質をAA、潜性形質をaaで表すとき、Aaのように異なる遺伝子をもつ個体に現れる形質は何か。","顕性形質","遺伝の規則性","優性形質",""
"rika-iden","q-17","Aaどうしを交配したとき、子に現れる顕性形質と潜性形質の割合は何対何か。","3対1","交配実験","3:1|3：1",""
"rika-iden","q-18","Aaどうしを交配したとき、潜性形質が現れる個体の割合は何分の何か。","4分の1","交配実験","1/4|4ぶんの1|25%",""
"rika-iden","q-19","無性生殖でできた子は、親と同じ遺伝子をもつため、親との形質の違いが有性生殖より何か。","少ない","遺伝","",""
