quiz_id,item_key,label,answer,category,extra_json
"nihon-chiri","tokusanhin-1","「輪島塗」は、どこの都道府県の伝統的工芸品として知られているか。","石川県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-2","「九谷焼」は、どこの都道府県の伝統的工芸品として知られているか。","石川県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-3","「南部鉄器」は、どこの都道府県の伝統的工芸品として知られているか。","岩手県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-4","「会津塗」は、どこの都道府県の伝統的工芸品として知られているか。","福島県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-5","「有田焼」は、どこの都道府県の伝統的工芸品として知られているか。","佐賀県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-6","「信楽焼」は、どこの都道府県の伝統的工芸品として知られているか。","滋賀県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-7","「西陣織」は、どこの都道府県の伝統的工芸品として知られているか。","京都府","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-8","「博多人形」は、どこの都道府県の伝統的工芸品として知られているか。","福岡県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-9","「熊野筆」は、どこの都道府県の伝統的工芸品として知られているか。","広島県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-10","「小千谷ちぢみ」は、どこの都道府県の伝統的工芸品として知られているか。","新潟県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-11","「甲州印伝」は、どこの都道府県の伝統的工芸品として知られているか。","山梨県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-12","「天童の将棋駒」は、どこの都道府県の伝統的工芸品として知られているか。","山形県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-13","「越前和紙」は、どこの都道府県の伝統的工芸品として知られているか。","福井県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-14","「津軽塗」は、どこの都道府県の伝統的工芸品として知られているか。","青森県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-15","「江戸切子」は、どこの都道府県の伝統的工芸品として知られているか。","東京都","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-16","「高岡銅器」は、どこの都道府県の伝統的工芸品として知られているか。","富山県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-17","「別府竹細工」は、どこの都道府県の伝統的工芸品として知られているか。","大分県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-18","「桐生織」は、どこの都道府県の伝統的工芸品として知られているか。","群馬県","tokusanhin","{""type"":""伝統工芸""}"
"nihon-chiri","tokusanhin-19","「出雲そば」は、どこの都道府県の郷土料理として知られているか。","島根県","tokusanhin","{""type"":""特産品""}"
"nihon-chiri","tokusanhin-20","「今治タオル」は、どこの都道府県の特産品として知られているか。","愛媛県","tokusanhin","{""type"":""特産品""}"
