quiz_id,item_key,label,answer,category,accept,extra_json
"rekishi-genshi","jomondoki","次の説明にあてはまる語句を答えなさい。
「縄目の文様がつけられた、厚手で黒っぽい土器」","縄文土器","原始","",""
"rekishi-genshi","tateana","次の説明にあてはまる語句を答えなさい。
「地面を掘り下げ、柱を立てて屋根をかけた住まい」","竪穴住居","原始","",""
"rekishi-genshi","kaizuka","次の説明にあてはまる語句を答えなさい。
「当時の人々が食べた貝がらや魚の骨などを捨てた場所。当時の生活を知る手がかりになる」","貝塚","原始","",""
"rekishi-genshi","dogu","次の説明にあてはまる語句を答えなさい。
「縄文時代につくられた土製の人形。豊かな実りや安産を祈るまじないに使われたと考えられている」","土偶","原始","",""
"rekishi-genshi","sannai","次の説明にあてはまる語句を答えなさい。
「青森県にある、大規模な集落の跡が見つかった縄文時代の遺跡」","三内丸山遺跡","原始","",""
"rekishi-genshi","yayoidoki","次の説明にあてはまる語句を答えなさい。
「縄文土器より薄手でかたく、かざりの少ない赤褐色の土器」","弥生土器","原始","",""
"rekishi-genshi","inasaku","次の説明にあてはまる語句を答えなさい。
「大陸から九州北部に伝わり、弥生時代に各地へ広まった農業」","稲作","原始","",""
"rekishi-genshi","takayuka","次の説明にあてはまる語句を答えなさい。
「収穫した米をねずみや湿気から守るため、床を高くしてつくられた倉」","高床倉庫","原始","",""
"rekishi-genshi","toro","次の説明にあてはまる語句を答えなさい。
「静岡県にある、水田の跡が見つかった弥生時代の遺跡」","登呂遺跡","原始","",""
"rekishi-genshi","yoshinogari","次の説明にあてはまる語句を答えなさい。
「佐賀県にある、まわりを濠やさくで囲んだ弥生時代の大規模な集落跡」","吉野ヶ里遺跡","原始","",""
"rekishi-genshi","seidoki","次の説明にあてはまる語句を答えなさい。
「銅鐸や銅剣など、主に祭りの道具として使われた金属器」","青銅器","原始","",""
"rekishi-genshi","himiko","次の説明にあてはまる語句を答えなさい。
「3世紀ごろ、女王が治めていたとされる国。魏に使いを送り「親魏倭王」の称号を得た」","邪馬台国","古代","",""
"rekishi-genshi","himiko-person","次の説明にあてはまる人物はだれか。
「魏に使いを送り、「親魏倭王」の称号と金印を授けられた」","卑弥呼","古代","",""
"rekishi-genshi","kofun","次の説明にあてはまる語句を答えなさい。
「3世紀後半から各地につくられた、王や豪族の大きな墓」","古墳","原始","",""
"rekishi-genshi","zenpokoen","次の説明にあてはまる語句を答えなさい。
「円形と四角形を組み合わせた、かぎ穴のような形をした古墳」","前方後円墳","原始","",""
"rekishi-genshi","daisen","次の説明にあてはまる語句を答えなさい。
「大阪府堺市にある日本最大の前方後円墳。仁徳天皇の墓と伝えられる」","大仙古墳","原始","大仙陵古墳|仁徳天皇陵古墳|仁徳天皇陵|大山古墳",""
"rekishi-genshi","haniwa","次の説明にあてはまる語句を答えなさい。
「古墳の上や周りに並べられた素焼きの土製品。人や馬、家などの形がある」","埴輪","原始","",""
"rekishi-genshi","yamato","次の説明にあてはまる語句を答えなさい。
「3世紀後半ごろ、奈良盆地を中心とする豪族たちが大王を中心につくった連合政権」","大和政権","原始","大和朝廷|ヤマト政権|ヤマト王権|大和王権",""
"rekishi-genshi","toraijin","次の説明にあてはまる語句を答えなさい。
「朝鮮半島などから日本に移り住み、須恵器や機織り、漢字・儒教を伝えた人々」","渡来人","原始","",""
