quiz_id,item_key,label,answer,category,extra_json
chikei,奥羽山脈,奥羽山脈,奥羽山脈,山地・山脈,"{""hint"":""東北地方を南北に走る、日本で最も長い山脈""}"
chikei,飛騨山脈(北アルプス),飛騨山脈(北アルプス),飛騨山脈(北アルプス),山地・山脈,"{""hint"":""「日本の屋根」とも呼ばれる日本アルプスの一つ。富山県・長野県・岐阜県にまたがる""}"
chikei,木曽山脈(中央アルプス),木曽山脈(中央アルプス),木曽山脈(中央アルプス),山地・山脈,"{""hint"":""日本アルプスの一つで、長野県に位置する""}"
chikei,赤石山脈(南アルプス),赤石山脈(南アルプス),赤石山脈(南アルプス),山地・山脈,"{""hint"":""日本アルプスの一つで、山梨県・長野県・静岡県にまたがる""}"
chikei,富士山,富士山,富士山,山地・山脈,"{""hint"":""日本最高峰(標高3776m)。静岡県と山梨県にまたがる""}"
chikei,関東平野,関東平野,関東平野,平野,"{""hint"":""日本最大の平野""}"
chikei,越後平野,越後平野,越後平野,平野,"{""hint"":""新潟県に広がる、日本有数の稲作地帯""}"
chikei,濃尾平野,濃尾平野,濃尾平野,平野,"{""hint"":""愛知県・岐阜県に広がり、「輪中」と呼ばれる堤防で知られる""}"
chikei,石狩平野,石狩平野,石狩平野,平野,"{""hint"":""北海道に広がる、稲作がさかんな平野""}"
chikei,筑紫平野,筑紫平野,筑紫平野,平野,"{""hint"":""九州最大の平野で、佐賀県・福岡県に広がる""}"
chikei,信濃川,信濃川,信濃川,川,"{""hint"":""日本で最も長い川(約367km)""}"
chikei,利根川,利根川,利根川,川,"{""hint"":""流域面積が日本一で、「坂東太郎」とも呼ばれる川""}"
chikei,石狩川,石狩川,石狩川,川,"{""hint"":""北海道を流れる、日本三大河川の一つ""}"
chikei,木曽川,木曽川,木曽川,川,"{""hint"":""濃尾平野を流れる、木曽三川の一つ""}"
chikei,淀川,淀川,淀川,川,"{""hint"":""琵琶湖から大阪湾へ流れる川""}"
chikei,琵琶湖,琵琶湖,琵琶湖,湖,"{""hint"":""日本最大の湖。滋賀県にある""}"
chikei,黒潮(日本海流),黒潮(日本海流),黒潮(日本海流),海流,"{""hint"":""日本の太平洋側を流れる暖流""}"
chikei,親潮(千島海流),親潮(千島海流),親潮(千島海流),海流,"{""hint"":""三陸沖などを流れる寒流""}"
chikei,対馬海流,対馬海流,対馬海流,海流,"{""hint"":""日本海側を流れる暖流""}"
chikei,リマン海流,リマン海流,リマン海流,海流,"{""hint"":""日本海側を北から南へ流れる寒流""}"
chikei,房総半島,房総半島,房総半島,半島,"{""hint"":""千葉県にある半島""}"
chikei,紀伊半島,紀伊半島,紀伊半島,半島,"{""hint"":""近畿地方最大の半島""}"
chikei,能登半島,能登半島,能登半島,半島,"{""hint"":""石川県にある、日本海に突き出た半島""}"
chikei,津軽海峡,津軽海峡,津軽海峡,海峡,"{""hint"":""本州と北海道を隔てる海峡""}"
chikei,関門海峡,関門海峡,関門海峡,海峡,"{""hint"":""本州と九州を隔てる海峡""}"
