quiz_id,item_key,label,answer,category,accept,extra_json
"rika-saibou","q-01","生物の体をつくる基本単位となる小さな構造を何というか。","細胞","細胞","",""
"rika-saibou","q-02","細胞の中にあり、細胞の活動を調節する部分を何というか。","核","細胞","細胞核",""
"rika-saibou","q-03","核の周りにあり、細胞のさまざまな働きが行われる部分を何というか。","細胞質","細胞","",""
"rika-saibou","q-04","細胞質の外側を包み、細胞内外の物質の出入りを調節する膜を何というか。","細胞膜","細胞","",""
"rika-saibou","q-05","植物細胞の最も外側にあり、細胞を保護して形を保つつくりを何というか。","細胞壁","植物細胞","",""
"rika-saibou","q-06","植物細胞にあり、細胞液を含む袋状のつくりを何というか。","液胞","植物細胞","",""
"rika-saibou","q-07","液胞の内部を満たしている液体を何というか。","細胞液","植物細胞","",""
"rika-saibou","q-08","緑色の植物細胞にはあるが、一般的な動物細胞にはない、光合成を行うつくりを何というか。","葉緑体","相違点","",""
"rika-saibou","q-09","植物細胞と動物細胞を顕微鏡で観察するとき、核を染めるために使う液を何というか。","酢酸カーミン液","観察","酢酸オルセイン液",""
"rika-saibou","q-10","同じ種類で、同じような働きをする細胞が集まったものを何というか。","組織","細胞の集まり","",""
"rika-saibou","q-11","いくつかの組織が組み合わさって、特定の働きをする部分を何というか。","器官","細胞の集まり","",""
"rika-saibou","q-12","体が1個の細胞だけでできている生物を何というか。","単細胞生物","生物の体","",""
"rika-saibou","q-13","体が多数の細胞でできている生物を何というか。","多細胞生物","生物の体","",""
