"quiz_id","item_key","label","answer","category","accept","extra_json","explanation"
"rika-kagaku-03","q-01","物質が水に溶けてできた、均一な液体を何というか。","水溶液","水溶液","","",""
"rika-kagaku-03","q-02","水溶液で、水に溶けている物質を何というか。","溶質","水溶液","","",""
"rika-kagaku-03","q-03","水溶液で、溶質を溶かしている液体を何というか。","溶媒","水溶液","","",""
"rika-kagaku-03","q-04","物質が水に溶けて水溶液になる現象を何というか。","溶解","水溶液","","",""
"rika-kagaku-03","q-05","一定の温度で、水100 gに溶けることができる物質の最大の質量を何というか。","溶解度","溶解度","","",""
"rika-kagaku-03","q-06","ある温度で、溶質がそれ以上溶けないまで溶けている水溶液を何というか。","飽和水溶液","溶解度","","",""
"rika-kagaku-03","q-07","溶解度が「20 g」と示されているとき、その物質が溶ける水の質量は何 g か。","100","溶解度","100g|100 g","",""
"rika-kagaku-03","q-08","水に溶けずに残った固体と液体を分ける方法を何というか。","ろ過","分離","濾過","",""
"rika-kagaku-03","q-10","ろ過したとき、ろ紙を通り抜けた液体を何というか。","ろ液","分離","濾液","",""
"rika-kagaku-03","q-11","水溶液を冷やしたり、水を蒸発させたりして、溶質を固体として取り出したときにできる固体を何というか。","結晶","結晶","","",""
"rika-kagaku-03","q-12","温度による溶解度の違いを利用して、結晶を取り出しながら物質をきれいにする方法を何というか。","再結晶","結晶","","",""
"rika-kagaku-03","q-13","水溶液から溶質を取り出すため、水を加熱して気体に変えることを何というか。","蒸発","分離","","",""
"rika-kagaku-03","q-14","水溶液全体の質量に対する溶質の質量の割合を百分率で表したものを何というか。","質量パーセント濃度","濃度","質量百分率","",""
"rika-kagaku-03","q-15","食塩水100 gに食塩が5 g溶けているとき、質量パーセント濃度は何 %か。","5","濃度","5%|5 %","",""
"rika-kagaku-03","q-16","一般に、固体の物質は水の温度が高くなると溶解度がどうなることが多いか。","大きくなる","溶解度","増える|増加する|上がる","",""
"rika-kagaku-03","q-17","気体の物質は、水の温度が高くなると溶解度がどうなることが多いか。","小さくなる","溶解度","減る|減少する|下がる","",""
"rika-kagaku-03","q-18","溶質が溶媒に溶けた液全体を何というか。","溶液","水溶液","","",""
"rika-kagaku-03","q-19","温度と溶解度の関係を表したグラフを何というか。","溶解度曲線","溶解度","","",""
"rika-kagaku-03","q-21","ろ過をするとき、液を伝わらせて注ぐために使う器具は何か。","ガラス棒","分離","","",""
