quiz_id,item_key,label,answer,category,extra_json
todofuken-chizu,1,北海道,北海道,hokkaido,
todofuken-chizu,2,青森県,青森県,tohoku,
todofuken-chizu,3,岩手県,岩手県,tohoku,
todofuken-chizu,4,宮城県,宮城県,tohoku,
todofuken-chizu,5,秋田県,秋田県,tohoku,
todofuken-chizu,6,山形県,山形県,tohoku,
todofuken-chizu,7,福島県,福島県,tohoku,
todofuken-chizu,8,茨城県,茨城県,kanto,
todofuken-chizu,9,栃木県,栃木県,kanto,
todofuken-chizu,10,群馬県,群馬県,kanto,
todofuken-chizu,11,埼玉県,埼玉県,kanto,
todofuken-chizu,12,千葉県,千葉県,kanto,
todofuken-chizu,13,東京都,東京都,kanto,
todofuken-chizu,14,神奈川県,神奈川県,kanto,
todofuken-chizu,15,新潟県,新潟県,chubu,
todofuken-chizu,16,富山県,富山県,chubu,
todofuken-chizu,17,石川県,石川県,chubu,
todofuken-chizu,18,福井県,福井県,chubu,
todofuken-chizu,19,山梨県,山梨県,chubu,
todofuken-chizu,20,長野県,長野県,chubu,
todofuken-chizu,21,岐阜県,岐阜県,chubu,
todofuken-chizu,22,静岡県,静岡県,chubu,
todofuken-chizu,23,愛知県,愛知県,chubu,
todofuken-chizu,24,三重県,三重県,kinki,
todofuken-chizu,25,滋賀県,滋賀県,kinki,
todofuken-chizu,26,京都府,京都府,kinki,
todofuken-chizu,27,大阪府,大阪府,kinki,
todofuken-chizu,28,兵庫県,兵庫県,kinki,
todofuken-chizu,29,奈良県,奈良県,kinki,
todofuken-chizu,30,和歌山県,和歌山県,kinki,
todofuken-chizu,31,鳥取県,鳥取県,chugoku,
todofuken-chizu,32,島根県,島根県,chugoku,
todofuken-chizu,33,岡山県,岡山県,chugoku,
todofuken-chizu,34,広島県,広島県,chugoku,
todofuken-chizu,35,山口県,山口県,chugoku,
todofuken-chizu,36,徳島県,徳島県,shikoku,
todofuken-chizu,37,香川県,香川県,shikoku,
todofuken-chizu,38,愛媛県,愛媛県,shikoku,
todofuken-chizu,39,高知県,高知県,shikoku,
todofuken-chizu,40,福岡県,福岡県,kyushu-okinawa,
todofuken-chizu,41,佐賀県,佐賀県,kyushu-okinawa,
todofuken-chizu,42,長崎県,長崎県,kyushu-okinawa,
todofuken-chizu,43,熊本県,熊本県,kyushu-okinawa,
todofuken-chizu,44,大分県,大分県,kyushu-okinawa,
todofuken-chizu,45,宮崎県,宮崎県,kyushu-okinawa,
todofuken-chizu,46,鹿児島県,鹿児島県,kyushu-okinawa,
todofuken-chizu,47,沖縄県,沖縄県,kyushu-okinawa,
