quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"rekishi-kamakura","q-01","次の説明にあてはまる語句を答えなさい。
「1167年に武士として初めて太政大臣となり、日宋貿易を進めた人物」","平清盛","中世","","",""
"rekishi-kamakura","q-02","次の説明にあてはまる人物はだれか。
「武士として初めて太政大臣となり、兵庫の港を整えて日宋貿易を行った」","平清盛","中世","","",""
"rekishi-kamakura","q-03","次の説明にあてはまる語句を答えなさい。
「現在の山口県で平氏がほろんだ戦い」","壇ノ浦の戦い","中世","","",""
"rekishi-kamakura","q-04","「壇ノ浦の戦い」は西暦何年のことか。数字で答えなさい。","1185","中世","1185年","",""
"rekishi-kamakura","q-05","次の説明にあてはまる語句を答えなさい。
「1192年に征夷大将軍に任じられ、鎌倉に幕府を開いた人物」","源頼朝","中世","","",""
"rekishi-kamakura","q-06","次の説明にあてはまる人物はだれか。
「守護・地頭を置き、鎌倉に幕府を開いた」","源頼朝","中世","","",""
"rekishi-kamakura","q-07","次の説明にあてはまる語句を答えなさい。
「後鳥羽上皇が幕府をたおそうとして起こしたが敗れた戦い」","承久の乱","中世","","",""
"rekishi-kamakura","q-08","「承久の乱」は西暦何年のことか。数字で答えなさい。","1221","中世","1221年","",""
"rekishi-kamakura","q-09","次の説明にあてはまる語句を答えなさい。
「鎌倉幕府が定めた、武士の慣習をもとにした初めての武家法」","御成敗式目","中世","","",""
"rekishi-kamakura","q-10","「御成敗式目」は西暦何年のことか。数字で答えなさい。","1232","中世","1232年","",""
"rekishi-kamakura","q-11","次の説明にあてはまる人物はだれか。
「執権として御成敗式目を定めた」","北条泰時","中世","","",""
"rekishi-kamakura","q-12","次の説明にあてはまる語句を答えなさい。
「元と高麗の軍が北九州にせめてきた最初の元寇」","文永の役","中世","","",""
"rekishi-kamakura","q-13","「文永の役」は西暦何年のことか。数字で答えなさい。","1274","中世","1274年","",""
"rekishi-kamakura","q-14","次の説明にあてはまる語句を答えなさい。
「元が再び北九州にせめてきた二度目の元寇」","弘安の役","中世","","",""
"rekishi-kamakura","q-15","「弘安の役」は西暦何年のことか。数字で答えなさい。","1281","中世","1281年","",""
"rekishi-kamakura","q-16","次の説明にあてはまる人物はだれか。
「執権として二度の元寇を退けた」","北条時宗","中世","","",""
"rekishi-kamakura","q-17","次の説明にあてはまる語句を答えなさい。
「源頼朝が国ごとに置いた、軍事・警察の仕事をする役職」","守護","中世","","",""
"rekishi-kamakura","q-18","次の説明にあてはまる語句を答えなさい。
「源頼朝が荘園や公領ごとに置いた、年貢の取り立てなどをする役職」","地頭","中世","","",""
"rekishi-kamakura","q-19","次の説明にあてはまる語句を答えなさい。
「鎌倉幕府で将軍を補佐した職。北条氏が代々受けついだ」","執権","中世","","",""
"rekishi-kamakura","q-20","次の説明にあてはまる語句を答えなさい。
「将軍が御家人に領地を保障し、御家人は戦いで将軍に忠誠をつくすという主従関係」","御恩と奉公","中世","","",""
"rekishi-kamakura","q-21","次の説明にあてはまる語句を答えなさい。
「将軍と主従関係を結んだ武士」","御家人","中世","","",""
"rekishi-kamakura","q-22","次の説明にあてはまる語句を答えなさい。
「鎌倉時代に後鳥羽上皇の命令でまとめられた歌集」","新古今和歌集","中世","","",""
"rekishi-kamakura","q-23","次の説明にあてはまる語句を答えなさい。
「平氏の栄華と滅亡をえがいた軍記物。琵琶法師によって語り広められた」","平家物語","中世","","",""
"rekishi-kamakura","q-24","次の説明にあてはまる語句を答えなさい。
「「ゆく河の流れは絶えずして」で始まる、鴨長明の随筆」","方丈記","中世","","",""
"rekishi-kamakura","q-25","次の説明にあてはまる語句を答えなさい。
「「つれづれなるままに」で始まる、兼好法師の随筆」","徒然草","中世","","",""
"rekishi-kamakura","q-26","次の説明にあてはまる語句を答えなさい。
「運慶・快慶らがつくった、東大寺南大門に立つ力強い彫刻」","金剛力士像","中世","","",""
"rekishi-kamakura","q-27","次の説明にあてはまる語句を答えなさい。
「「南無阿弥陀仏」と念仏を唱えれば救われると説いた宗派」","浄土宗","中世","","",""
"rekishi-kamakura","q-28","次の説明にあてはまる人物はだれか。
「念仏を唱えれば救われると説き、浄土宗を開いた」","法然","中世","","",""
"rekishi-kamakura","q-29","次の説明にあてはまる語句を答えなさい。
「自分の罪を自覚した悪人こそ救われると説いた宗派」","浄土真宗","中世","","",""
"rekishi-kamakura","q-30","次の説明にあてはまる人物はだれか。
「法然の弟子で、浄土真宗を開いた」","親鸞","中世","","",""
"rekishi-kamakura","q-31","次の説明にあてはまる語句を答えなさい。
「「南無妙法蓮華経」と題目を唱えることを説いた宗派」","日蓮宗","中世","","",""
"rekishi-kamakura","q-32","次の説明にあてはまる人物はだれか。
「「南無妙法蓮華経」の題目を唱えれば救われると説いた、鎌倉時代の僧」","日蓮","中世","","",""
"rekishi-kamakura","q-33","次の説明にあてはまる語句を答えなさい。
「座禅によってさとりを開こうとする仏教。武士の気風に合い広まった」","禅宗","中世","","",""
"rekishi-kamakura","q-34","次の説明にあてはまる語句を答えなさい。
「同じ田畑で1年に2種類の作物を作ること。鎌倉時代に西日本で広まった」","二毛作","中世","","",""
"rekishi-kamakura","q-35","次の説明にあてはまる語句を答えなさい。
「寺社の門前や交通の要地で、月に数回開かれた市」","定期市","中世","","",""
