"quiz_id","item_key","label","answer","category","accept","extra_json","explanation"
"chikei","奥羽山脈","次の説明にあてはまる地形は？
「東北地方を南北に走る、日本で最も長い山脈」","奥羽山脈","山地・山脈","","",""
"chikei","飛騨山脈","次の説明にあてはまる地形は？
「「日本の屋根」とも呼ばれる日本アルプスの一つ。富山県・長野県・岐阜県にまたがる」","飛騨山脈","山地・山脈","北アルプス","",""
"chikei","木曽山脈","次の説明にあてはまる地形は？
「日本アルプスの一つで、長野県に位置する」","木曽山脈","山地・山脈","中央アルプス","",""
"chikei","赤石山脈","次の説明にあてはまる地形は？
「日本アルプスの一つで、山梨県・長野県・静岡県にまたがる」","赤石山脈","山地・山脈","南アルプス","",""
"chikei","富士山","次の説明にあてはまる地形は？
「日本最高峰(標高3776m)。静岡県と山梨県にまたがる」","富士山","山地・山脈","","",""
"chikei","関東平野","次の説明にあてはまる地形は？
「日本最大の平野」","関東平野","平野","","",""
"chikei","越後平野","次の説明にあてはまる地形は？
「新潟県に広がる、日本有数の稲作地帯」","越後平野","平野","","",""
"chikei","濃尾平野","次の説明にあてはまる地形は？
「愛知県・岐阜県に広がり、「輪中」と呼ばれる堤防で知られる」","濃尾平野","平野","","",""
"chikei","石狩平野","次の説明にあてはまる地形は？
「北海道に広がる、稲作がさかんな平野」","石狩平野","平野","","",""
"chikei","筑紫平野","次の説明にあてはまる地形は？
「九州最大の平野で、佐賀県・福岡県に広がる」","筑紫平野","平野","","",""
"chikei","信濃川","次の説明にあてはまる地形は？
「日本で最も長い川(約367km)」","信濃川","川","","",""
"chikei","利根川","次の説明にあてはまる地形は？
「流域面積が日本一で、「坂東太郎」とも呼ばれる川」","利根川","川","","",""
"chikei","石狩川","次の説明にあてはまる地形は？
「北海道を流れる、日本三大河川の一つ」","石狩川","川","","",""
"chikei","木曽川","次の説明にあてはまる地形は？
「濃尾平野を流れる、木曽三川の一つ」","木曽川","川","","",""
"chikei","淀川","次の説明にあてはまる地形は？
「琵琶湖から大阪湾へ流れる川」","淀川","川","","",""
"chikei","琵琶湖","次の説明にあてはまる地形は？
「日本最大の湖。滋賀県にある」","琵琶湖","湖","","",""
"chikei","黒潮","次の説明にあてはまる地形は？
「日本の太平洋側を流れる暖流」","黒潮","海流","日本海流","",""
"chikei","親潮","次の説明にあてはまる地形は？
「三陸沖などを流れる寒流」","親潮","海流","千島海流","",""
"chikei","対馬海流","次の説明にあてはまる地形は？
「日本海側を流れる暖流」","対馬海流","海流","","",""
"chikei","リマン海流","次の説明にあてはまる地形は？
「日本海側を北から南へ流れる寒流」","リマン海流","海流","","",""
"chikei","房総半島","次の説明にあてはまる地形は？
「千葉県にある半島」","房総半島","半島","","",""
"chikei","紀伊半島","次の説明にあてはまる地形は？
「近畿地方最大の半島」","紀伊半島","半島","","",""
"chikei","能登半島","次の説明にあてはまる地形は？
「石川県にある、日本海に突き出た半島」","能登半島","半島","","",""
"chikei","津軽海峡","次の説明にあてはまる地形は？
「本州と北海道を隔てる海峡」","津軽海峡","海峡","","",""
"chikei","関門海峡","次の説明にあてはまる地形は？
「本州と九州を隔てる海峡」","関門海峡","海峡","","",""
