quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"nihon-chiri","q-01","日本の一番南にある島（極南端）の名前は何ですか？","沖ノ鳥島","basic","沖の鳥島","",""
"nihon-chiri","q-02","飛騨山脈、木曽山脈、赤石山脈の3つの山脈を合わせた総称を何といいますか？","日本アルプス","basic","","",""
"nihon-chiri","q-03","日本で一番流域面積が広い川の名前は何ですか？","利根川","basic","","",""
"nihon-chiri","q-04","三陸海岸や志摩半島に見られる、複雑に入り組んだ鋸刃状の海岸地形を何といいますか？","リアス海岸","basic","リアス式海岸|リアス","",""
"nihon-chiri","q-05","東北地方の太平洋側で、夏に吹き冷害の原因となる冷たく湿った北東の風を何といいますか？","やませ","basic","","",""
"nihon-chiri","q-06","関東平野のほぼ中央を流れる利根川などの流域に広がる、火山灰が降り積もってできた赤土の台地を何といいますか？","関東ローム層","basic","関東ローム","",""
"nihon-chiri","q-07","中部地方の八ヶ岳山麓や菅平高原などで盛んな、夏の涼しい気候を利用してレタスやキャベツなどを栽培する農業を何といいますか？","高冷地農業","basic","","",""
"nihon-chiri","q-08","大阪市やその周辺など、大消費地に近い立地を生かして野菜などを栽培する農業を何といいますか？","近郊農業","basic","","",""
"nihon-chiri","q-09","瀬戸内海沿岸の地域に見られる、年中温暖で雨が少ない気候を何といいますか？","瀬戸内の気候","basic","瀬戸内気候|瀬戸内式気候","",""
"nihon-chiri","q-10","九州南部に広がる、シラスと呼ばれる火山灰が堆積した台地を何といいますか？","シラス台地","basic","","",""
"nihon-chiri","q-11","青森県にある、むつ湾を囲むまさかりの形をした半島は何ですか？","下北半島","basic","","",""
"nihon-chiri","q-12","日本の太平洋側を南から北へ流れる、日本海流とも呼ばれる暖流の名前は何ですか？","黒潮","basic","","",""
"nihon-chiri","q-13","日本で最も長い川の名前は何ですか？","信濃川","basic","","",""
"nihon-chiri","q-14","山口県の秋吉台などに代表される、石灰岩が雨水などで侵食されてできた地形を何といいますか？","カルスト地形","basic","カルスト","",""
