quiz_id,item_key,label,answer,category,accept,extra_json
"rika-kougousei","q-01","葉の細胞内で、光合成を行う緑色の粒状のつくりを何というか。","葉緑体","細胞","",""
"rika-kougousei","q-02","葉緑体に含まれ、光合成に必要な光を吸収する緑色の色素を何というか。","葉緑素","細胞","クロロフィル",""
"rika-kougousei","q-03","根の表面にあり、土の粒のすき間に入り込んで水や無機養分を吸収する細い突起を何というか。","根毛","根","",""
"rika-kougousei","q-04","根から吸収した水や無機養分が通る、茎や葉の中の管を何というか。","道管","植物体内の移動","",""
"rika-kougousei","q-05","葉でつくられた養分が通る、茎や葉の中の管を何というか。","師管","植物体内の移動","",""
"rika-kougousei","q-06","葉の表皮にあり、二酸化炭素や酸素などの気体が出入りする小さな穴を何というか。","気孔","葉","",""
"rika-kougousei","q-07","気孔をつくり、その開閉を調節している一対の細胞を何というか。","孔辺細胞","葉","",""
"rika-kougousei","q-08","光合成で、植物が空気中から取り入れる気体は何か。","二酸化炭素","光合成","炭酸ガス|CO2",""
"rika-kougousei","q-09","光合成で、植物が根から吸収して原料として使う物質は何か。","水","光合成","",""
"rika-kougousei","q-10","光合成によってつくられ、ヨウ素液で青紫色に変化する養分は何か。","デンプン","光合成","澱粉",""
"rika-kougousei","q-11","光合成によって、植物の体内から空気中へ放出される気体は何か。","酸素","光合成","",""
"rika-kougousei","q-12","葉に光が当たるとデンプンができることを確かめる実験で、葉の一部を覆うために使うものは何か。","アルミニウムはく","光合成の実験","アルミ箔|アルミホイル|アルミはく|アルミニウム箔",""
"rika-kougousei","q-13","光合成の実験の前に植物を暗い場所に置くのは、葉に残っている何を使い切らせるためか。","デンプン","光合成の実験","澱粉",""
"rika-kougousei","q-14","葉の一部をアルミニウムはくで覆って日光に当てた後、ヨウ素液で調べた。青紫色になったのは、光が当たった部分と当たらなかった部分のどちらか。","光が当たった部分","光合成の実験","",""
"rika-kougousei","q-15","葉でつくられたデンプンは、そのままでは水にとけにくい。植物はデンプンを何に変えて、師管を通して運ぶか。","糖","養分の移動","ショ糖|しょ糖",""
"rika-kougousei","q-16","植物の体内の水が、水蒸気となって主に気孔から空気中へ出ていく現象を何というか。","蒸散","葉","",""
"rika-kougousei","q-17","色水を吸わせた植物の茎を縦に切ると、色がつくのは道管と師管のどちらか。","道管","水の移動","",""
"rika-kougousei","q-18","植物は光合成をしていない夜にも呼吸を行う。呼吸によって植物が取り入れる気体は何か。","酸素","呼吸","",""
"rika-kougousei","q-19","植物が呼吸を行うのは、昼だけか、夜だけか、昼も夜もか。","昼も夜も","呼吸","昼夜とも|一日中|昼も夜も行う",""
