quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"kencho","q-01","北海道","札幌市","hokkaido","","",""
"kencho","q-02","青森県","青森市","tohoku","","",""
"kencho","q-03","岩手県","盛岡市","tohoku","","",""
"kencho","q-04","宮城県","仙台市","tohoku","","",""
"kencho","q-05","秋田県","秋田市","tohoku","","",""
"kencho","q-06","山形県","山形市","tohoku","","",""
"kencho","q-07","福島県","福島市","tohoku","","",""
"kencho","q-08","茨城県","水戸市","kanto","","",""
"kencho","q-09","栃木県","宇都宮市","kanto","","",""
"kencho","q-10","群馬県","前橋市","kanto","","",""
"kencho","q-11","埼玉県","さいたま市","kanto","","",""
"kencho","q-12","千葉県","千葉市","kanto","","",""
"kencho","q-13","東京都","東京","kanto","","",""
"kencho","q-14","神奈川県","横浜市","kanto","","",""
"kencho","q-15","新潟県","新潟市","chubu","","",""
"kencho","q-16","富山県","富山市","chubu","","",""
"kencho","q-17","石川県","金沢市","chubu","","",""
"kencho","q-18","福井県","福井市","chubu","","",""
"kencho","q-19","山梨県","甲府市","chubu","","",""
"kencho","q-20","長野県","長野市","chubu","","",""
"kencho","q-21","岐阜県","岐阜市","chubu","","",""
"kencho","q-22","静岡県","静岡市","chubu","","",""
"kencho","q-23","愛知県","名古屋市","chubu","","",""
"kencho","q-24","三重県","津市","kinki","","",""
"kencho","q-25","滋賀県","大津市","kinki","","",""
"kencho","q-26","京都府","京都市","kinki","","",""
"kencho","q-27","大阪府","大阪市","kinki","","",""
"kencho","q-28","兵庫県","神戸市","kinki","","",""
"kencho","q-29","奈良県","奈良市","kinki","","",""
"kencho","q-30","和歌山県","和歌山市","kinki","","",""
"kencho","q-31","鳥取県","鳥取市","chugoku","","",""
"kencho","q-32","島根県","松江市","chugoku","","",""
"kencho","q-33","岡山県","岡山市","chugoku","","",""
"kencho","q-34","広島県","広島市","chugoku","","",""
"kencho","q-35","山口県","山口市","chugoku","","",""
"kencho","q-36","徳島県","徳島市","shikoku","","",""
"kencho","q-37","香川県","高松市","shikoku","","",""
"kencho","q-38","愛媛県","松山市","shikoku","","",""
"kencho","q-39","高知県","高知市","shikoku","","",""
"kencho","q-40","福岡県","福岡市","kyushu-okinawa","","",""
"kencho","q-41","佐賀県","佐賀市","kyushu-okinawa","","",""
"kencho","q-42","長崎県","長崎市","kyushu-okinawa","","",""
"kencho","q-43","熊本県","熊本市","kyushu-okinawa","","",""
"kencho","q-44","大分県","大分市","kyushu-okinawa","","",""
"kencho","q-45","宮崎県","宮崎市","kyushu-okinawa","","",""
"kencho","q-46","鹿児島県","鹿児島市","kyushu-okinawa","","",""
"kencho","q-47","沖縄県","那覇市","kyushu-okinawa","","",""
