"quiz_id","item_key","label","answer","category","accept","extra_json","explanation"
"rekishi-heian","heiankyo","次の説明にあてはまる語句を答えなさい。
「京都につくられ、以後約400年にわたって都となった」","平安京","古代","","",""
"rekishi-heian","heiankyo-year","「平安京」は西暦何年のことか。数字で答えなさい。","794","古代","794年","",""
"rekishi-heian","kentoshi-teishi","次の説明にあてはまる語句を答えなさい。
「唐のおとろえと航海の危険を理由に取りやめられた」","遣唐使の停止","古代","遣唐使の廃止|遣唐使廃止|遣唐使停止|遣唐使の中止","",""
"rekishi-heian","kentoshi-teishi-year","「遣唐使の停止」は西暦何年のことか。数字で答えなさい。","894","古代","894年","",""
"rekishi-heian","kentoshi-teishi-person","次の説明にあてはまる人物はだれか。
「894年、遣唐使の停止を提案した」","菅原道真","古代","","",""
"rekishi-heian","sekkan","次の説明にあてはまる語句を答えなさい。
「藤原氏が娘を天皇のきさきにし、摂政・関白として実権をにぎった政治」","摂関政治","古代","","",""
"rekishi-heian","sekkan-person","次の説明にあてはまる人物はだれか。
「4人の娘を天皇のきさきにし、摂関政治の全盛期を築いた」","藤原道長","古代","","",""
"rekishi-heian","byodoin","次の説明にあてはまる語句を答えなさい。
「藤原氏が宇治に建てた阿弥陀堂。浄土信仰を代表する建物」","平等院鳳凰堂","古代","","",""
"rekishi-heian","byodoin-year","「平等院鳳凰堂」は西暦何年のことか。数字で答えなさい。","1053","古代","1053年","",""
"rekishi-heian","byodoin-person","次の説明にあてはまる人物はだれか。
「宇治に平等院鳳凰堂を建てた」","藤原頼通","古代","","",""
"rekishi-heian","kokufu","次の説明にあてはまる語句を答えなさい。
「遣唐使の停止後、かな文字が生まれるなど日本の風土や生活に合った形で栄えた文化」","国風文化","古代","","",""
"rekishi-heian","genji","次の説明にあてはまる語句を答えなさい。
「光源氏を主人公とする、国風文化を代表する長編物語」","源氏物語","古代","","",""
"rekishi-heian","genji-person","次の説明にあてはまる人物はだれか。
「かな文字を用いて長編物語『源氏物語』を書いた」","紫式部","古代","","",""
"rekishi-heian","makura","次の説明にあてはまる語句を答えなさい。
「「春はあけぼの」で始まる、宮中の生活をつづった随筆」","枕草子","古代","","",""
"rekishi-heian","makura-person","次の説明にあてはまる人物はだれか。
「宮中の生活を随筆『枕草子』につづった」","清少納言","古代","","",""
"rekishi-heian","kokinshu","次の説明にあてはまる語句を答えなさい。
「天皇の命令でまとめられた、最初の勅撰和歌集」","古今和歌集","古代","","",""
"rekishi-heian","kokinshu-person","次の説明にあてはまる人物はだれか。
「『古今和歌集』をまとめ、かな文字で『土佐日記』を書いた」","紀貫之","古代","","",""
"rekishi-heian","jodo","次の説明にあてはまる語句を答えなさい。
「阿弥陀如来にすがって死後に極楽浄土へ生まれ変わることを願う信仰。平等院鳳凰堂はその代表」","浄土信仰","古代","","",""
"rekishi-heian","saicho","次の説明にあてはまる語句を答えなさい。
「唐から伝えられ、比叡山延暦寺を中心に広まった仏教の宗派」","天台宗","古代","","",""
"rekishi-heian","saicho-person","次の説明にあてはまる人物はだれか。
「唐にわたって天台宗を学び、比叡山に延暦寺を建てた」","最澄","古代","","",""
"rekishi-heian","kukai","次の説明にあてはまる語句を答えなさい。
「唐から伝えられ、高野山金剛峯寺を中心に広まった仏教の宗派」","真言宗","古代","","",""
"rekishi-heian","kukai-person","次の説明にあてはまる人物はだれか。
「唐にわたって真言宗を学び、高野山に金剛峯寺を建てた」","空海","古代","","",""
"rekishi-heian","shoen","次の説明にあてはまる語句を答えなさい。
「貴族や寺社が支配した私有地。公地公民の原則がくずれて広がった」","荘園","古代","","",""
"rekishi-heian","insei","次の説明にあてはまる語句を答えなさい。
「天皇の位をゆずったあとも上皇として政治を動かす仕組み」","院政","古代","","",""
"rekishi-heian","insei-year","「院政」は西暦何年のことか。数字で答えなさい。","1086","古代","1086年","",""
"rekishi-heian","insei-person","次の説明にあてはまる人物はだれか。
「天皇の位をゆずったあとも上皇として政治を行う院政を始めた」","白河上皇","古代","","",""
"rekishi-heian","masakado","次の説明にあてはまる語句を答えなさい。
「10世紀に関東で起こった反乱。武士の力が認められるきっかけとなった」","平将門の乱","古代","","",""
"rekishi-heian","hogen","次の説明にあてはまる語句を答えなさい。
「天皇と上皇の対立に武士が動員された戦い。武士の力が中央に示された」","保元の乱","古代","","",""
"rekishi-heian","hogen-year","「保元の乱」は西暦何年のことか。数字で答えなさい。","1156","古代","1156年","",""
