quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"chizu-kigou","q-01","次の地図記号は何を表しているか。","神社","建物・施設","","",""
"chizu-kigou","q-02","次の地図記号は何を表しているか。","寺院","建物・施設","寺|お寺","",""
"chizu-kigou","q-03","次の地図記号は何を表しているか。","郵便局","建物・施設","","",""
"chizu-kigou","q-04","次の地図記号は何を表しているか。","小・中学校","建物・施設","小中学校|小学校・中学校|小学校|中学校","",""
"chizu-kigou","q-05","次の地図記号は何を表しているか。","高等学校","建物・施設","高校","",""
"chizu-kigou","q-06","次の地図記号は何を表しているか。","市役所","建物・施設","","",""
"chizu-kigou","q-07","次の地図記号は何を表しているか。","町村役場","建物・施設","","",""
"chizu-kigou","q-08","次の地図記号は何を表しているか。","交番","建物・施設","","",""
"chizu-kigou","q-09","次の地図記号は何を表しているか。","警察署","建物・施設","","",""
"chizu-kigou","q-10","次の地図記号は何を表しているか。","消防署","建物・施設","","",""
"chizu-kigou","q-11","次の地図記号は何を表しているか。","工場","建物・施設","","{""note"":""2013年の改訂で廃止され、今の地形図には使われていない""}",""
"chizu-kigou","q-12","次の地図記号は何を表しているか。","発電所","建物・施設","発電所・変電所|変電所","",""
"chizu-kigou","q-13","次の地図記号は何を表しているか。","図書館","建物・施設","","",""
"chizu-kigou","q-14","次の地図記号は何を表しているか。","博物館","建物・施設","","",""
"chizu-kigou","q-15","次の地図記号は何を表しているか。","老人ホーム","建物・施設","","",""
"chizu-kigou","q-16","次の地図記号は何を表しているか。","灯台","建物・施設","","",""
"chizu-kigou","q-17","次の地図記号は何を表しているか。","港湾","建物・施設","港|重要港","",""
"chizu-kigou","q-18","次の地図記号は何を表しているか。","温泉","自然・その他","","",""
"chizu-kigou","q-19","次の地図記号は何を表しているか。","三角点","自然・その他","","",""
"chizu-kigou","q-20","次の地図記号は何を表しているか。","裁判所","建物・施設","","",""
"chizu-kigou","q-21","次の地図記号は何を表しているか。","税務署","建物・施設","","",""
"chizu-kigou","q-22","次の地図記号は何を表しているか。","保健所","建物・施設","","",""
"chizu-kigou","q-23","次の地図記号は何を表しているか。","病院","建物・施設","","",""
"chizu-kigou","q-24","次の地図記号は何を表しているか。","記念碑","建物・施設","記念広場","",""
"chizu-kigou","q-25","次の地図記号は何を表しているか。","墓地","建物・施設","","",""
"chizu-kigou","q-26","次の地図記号は何を表しているか。","果樹園","土地利用","","",""
"chizu-kigou","q-27","次の地図記号は何を表しているか。","田","土地利用","水田|たんぼ","",""
"chizu-kigou","q-28","次の地図記号は何を表しているか。","畑","土地利用","","",""
"chizu-kigou","q-29","次の地図記号は何を表しているか。","荒地","土地利用","荒れ地","",""
"chizu-kigou","q-30","次の地図記号は何を表しているか。","茶畑","土地利用","","",""
"chizu-kigou","q-31","次の地図記号は何を表しているか。","桑畑","土地利用","","{""note"":""2013年の改訂で廃止され、今の地形図には使われていない""}",""
"chizu-kigou","q-32","次の地図記号は何を表しているか。","広葉樹林","土地利用","","",""
"chizu-kigou","q-33","次の地図記号は何を表しているか。","針葉樹林","土地利用","","",""
