quiz_id,item_key,label,answer,category,accept,extra_json
"rika-seishoku","q-01","生物が自分と同じ種類の新しい個体をつくることを何というか。","生殖","生殖","",""
"rika-seishoku","q-02","1個体の親から、受精を行わずに子ができる生殖を何というか。","無性生殖","生殖","",""
"rika-seishoku","q-03","2個体の親がつくる生殖細胞の受精によって子ができる生殖を何というか。","有性生殖","生殖","",""
"rika-seishoku","q-04","有性生殖で、受精のためにつくられる細胞を何というか。","生殖細胞","生殖","",""
"rika-seishoku","q-05","ヒトの男性がつくる生殖細胞を何というか。","精子","ヒトの生殖","",""
"rika-seishoku","q-06","ヒトの女性がつくる生殖細胞を何というか。","卵","ヒトの生殖","卵細胞|卵子",""
"rika-seishoku","q-07","精子と卵が結合することを何というか。","受精","ヒトの生殖","",""
"rika-seishoku","q-08","受精によってできる最初の細胞を何というか。","受精卵","ヒトの生殖","",""
"rika-seishoku","q-09","ヒトの受精卵が細胞分裂を繰り返して成長する過程を何というか。","発生","ヒトの生殖","",""
"rika-seishoku","q-10","精子をつくる男性の生殖器官を何というか。","精巣","ヒトの生殖","睾丸",""
"rika-seishoku","q-11","卵をつくる女性の生殖器官を何というか。","卵巣","ヒトの生殖","",""
"rika-seishoku","q-12","体細胞が分裂して、同じ種類の細胞が2個できる細胞分裂を何というか。","体細胞分裂","細胞分裂","",""
"rika-seishoku","q-13","細胞分裂のとき、核の中でひも状に見えるようになるものを何というか。","染色体","細胞分裂","",""
"rika-seishoku","q-14","体細胞分裂によってできた2個の細胞の染色体数は、分裂前と比べてどうなるか。","変わらない","細胞分裂","同じ|変化しない",""
"rika-seishoku","q-15","アメーバのように、1個体が2つに分かれてふえる無性生殖を何というか。","分裂","無性生殖","",""
"rika-seishoku","q-16","ヒドラの体にできた芽が成長して新しい個体になる無性生殖を何というか。","出芽","無性生殖","",""
"rika-seishoku","q-17","ジャガイモのいもやオランダイチゴの茎のように、植物の体の一部から新しい個体ができる無性生殖を何というか。","栄養生殖","無性生殖","",""
