quiz_id,item_key,label,answer,category,accept,extra_json,explanation
"chigaku-01","q-01","れき・砂・泥・火山灰などが水底に積もってできた、しま状の層を何というか。","地層","地層","","",""
"chigaku-01","q-02","流水などによって運ばれ、積もったれき・砂・泥などを何というか。","堆積物","地層","","",""
"chigaku-01","q-03","堆積物が長い時間をかけて固まってできた岩石を何というか。","堆積岩","堆積岩","","",""
"chigaku-01","q-04","れきが固まってできた堆積岩を何というか。","れき岩","堆積岩","礫岩","",""
"chigaku-01","q-05","砂が固まってできた堆積岩を何というか。","砂岩","堆積岩","","",""
"chigaku-01","q-06","泥が固まってできた堆積岩を何というか。","泥岩","堆積岩","","",""
"chigaku-01","q-07","火山灰が固まってできた岩石を何というか。","凝灰岩","堆積岩","ぎょうかい岩","",""
"chigaku-01","q-08","地層の中に残された、昔の生物のからだや生活のあとを何というか。","化石","化石","","",""
"chigaku-01","q-09","地層ができた時代を知る手がかりになる化石を何というか。","示準化石","化石","しじゅん化石","",""
"chigaku-01","q-10","地層ができた当時の環境を知る手がかりになる化石を何というか。","示相化石","化石","しそう化石","",""
"chigaku-01","q-11","地層の上下が逆転していないとき、下にある地層ほど何時代にできたものか。","古い","地層","","",""
"chigaku-01","q-12","地層が大きな力で押されて曲がった構造を何というか。","しゅう曲","地層","褶曲","",""
"chigaku-01","q-13","地層が割れ、ずれている構造を何というか。","断層","地層","","",""
"chigaku-01","q-14","地層がいったん侵食された後に、新しい地層が重なっている境目を何というか。","不整合","地層","","",""
"chigaku-01","q-15","地下にある、高温でどろどろに溶けた岩石を何というか。","マグマ","火成岩","","",""
"chigaku-01","q-16","地表付近に出てきたマグマを何というか。","溶岩","火成岩","よう岩","",""
"chigaku-01","q-17","マグマが冷えて固まってできた岩石を何というか。","火成岩","火成岩","","",""
"chigaku-01","q-18","地表近くでマグマが急に冷えてできた火成岩を何というか。","火山岩","火成岩","","",""
"chigaku-01","q-19","地下深くでマグマがゆっくり冷えてできた火成岩を何というか。","深成岩","火成岩","","",""
"chigaku-01","q-20","白っぽく、結晶の粒が大きい代表的な深成岩を何というか。","花こう岩","火成岩","花崗岩","",""
"chigaku-02","q-01","地下の岩石が急にずれて起こる地面のゆれを何というか。","地震","地震","","",""
"chigaku-02","q-02","地震が最初に起こった地下の場所を何というか。","震源","地震","","",""
"chigaku-02","q-03","震源の真上にあたる地表の地点を何というか。","震央","地震","","",""
"chigaku-02","q-04","地震によるゆれを伝える波を何というか。","地震波","地震","","",""
