"quiz_id","item_key","label","answer","category","accept","extra_json","explanation"
"todofuken-chizu","1","次の地図で色がついている都道府県はどこか。","北海道","hokkaido","","",""
"todofuken-chizu","2","次の地図で色がついている都道府県はどこか。","青森県","tohoku","","",""
"todofuken-chizu","3","次の地図で色がついている都道府県はどこか。","岩手県","tohoku","","",""
"todofuken-chizu","4","次の地図で色がついている都道府県はどこか。","宮城県","tohoku","","",""
"todofuken-chizu","5","次の地図で色がついている都道府県はどこか。","秋田県","tohoku","","",""
"todofuken-chizu","6","次の地図で色がついている都道府県はどこか。","山形県","tohoku","","",""
"todofuken-chizu","7","次の地図で色がついている都道府県はどこか。","福島県","tohoku","","",""
"todofuken-chizu","8","次の地図で色がついている都道府県はどこか。","茨城県","kanto","","",""
"todofuken-chizu","9","次の地図で色がついている都道府県はどこか。","栃木県","kanto","","",""
"todofuken-chizu","10","次の地図で色がついている都道府県はどこか。","群馬県","kanto","","",""
"todofuken-chizu","11","次の地図で色がついている都道府県はどこか。","埼玉県","kanto","","",""
"todofuken-chizu","12","次の地図で色がついている都道府県はどこか。","千葉県","kanto","","",""
"todofuken-chizu","13","次の地図で色がついている都道府県はどこか。","東京都","kanto","","",""
"todofuken-chizu","14","次の地図で色がついている都道府県はどこか。","神奈川県","kanto","","",""
"todofuken-chizu","15","次の地図で色がついている都道府県はどこか。","新潟県","chubu","","",""
"todofuken-chizu","16","次の地図で色がついている都道府県はどこか。","富山県","chubu","","",""
"todofuken-chizu","17","次の地図で色がついている都道府県はどこか。","石川県","chubu","","",""
"todofuken-chizu","18","次の地図で色がついている都道府県はどこか。","福井県","chubu","","",""
"todofuken-chizu","19","次の地図で色がついている都道府県はどこか。","山梨県","chubu","","",""
"todofuken-chizu","20","次の地図で色がついている都道府県はどこか。","長野県","chubu","","",""
"todofuken-chizu","21","次の地図で色がついている都道府県はどこか。","岐阜県","chubu","","",""
"todofuken-chizu","22","次の地図で色がついている都道府県はどこか。","静岡県","chubu","","",""
"todofuken-chizu","23","次の地図で色がついている都道府県はどこか。","愛知県","chubu","","",""
"todofuken-chizu","24","次の地図で色がついている都道府県はどこか。","三重県","kinki","","",""
"todofuken-chizu","25","次の地図で色がついている都道府県はどこか。","滋賀県","kinki","","",""
"todofuken-chizu","26","次の地図で色がついている都道府県はどこか。","京都府","kinki","","",""
"todofuken-chizu","27","次の地図で色がついている都道府県はどこか。","大阪府","kinki","","",""
"todofuken-chizu","28","次の地図で色がついている都道府県はどこか。","兵庫県","kinki","","",""
"todofuken-chizu","29","次の地図で色がついている都道府県はどこか。","奈良県","kinki","","",""
"todofuken-chizu","30","次の地図で色がついている都道府県はどこか。","和歌山県","kinki","","",""
"todofuken-chizu","31","次の地図で色がついている都道府県はどこか。","鳥取県","chugoku","","",""
"todofuken-chizu","32","次の地図で色がついている都道府県はどこか。","島根県","chugoku","","",""
"todofuken-chizu","33","次の地図で色がついている都道府県はどこか。","岡山県","chugoku","","",""
"todofuken-chizu","34","次の地図で色がついている都道府県はどこか。","広島県","chugoku","","",""
"todofuken-chizu","35","次の地図で色がついている都道府県はどこか。","山口県","chugoku","","",""
"todofuken-chizu","36","次の地図で色がついている都道府県はどこか。","徳島県","shikoku","","",""
"todofuken-chizu","37","次の地図で色がついている都道府県はどこか。","香川県","shikoku","","",""
"todofuken-chizu","38","次の地図で色がついている都道府県はどこか。","愛媛県","shikoku","","",""
"todofuken-chizu","39","次の地図で色がついている都道府県はどこか。","高知県","shikoku","","",""
"todofuken-chizu","40","次の地図で色がついている都道府県はどこか。","福岡県","kyushu-okinawa","","",""
"todofuken-chizu","41","次の地図で色がついている都道府県はどこか。","佐賀県","kyushu-okinawa","","",""
"todofuken-chizu","42","次の地図で色がついている都道府県はどこか。","長崎県","kyushu-okinawa","","",""
"todofuken-chizu","43","次の地図で色がついている都道府県はどこか。","熊本県","kyushu-okinawa","","",""
"todofuken-chizu","44","次の地図で色がついている都道府県はどこか。","大分県","kyushu-okinawa","","",""
"todofuken-chizu","45","次の地図で色がついている都道府県はどこか。","宮崎県","kyushu-okinawa","","",""
"todofuken-chizu","46","次の地図で色がついている都道府県はどこか。","鹿児島県","kyushu-okinawa","","",""
"todofuken-chizu","47","次の地図で色がついている都道府県はどこか。","沖縄県","kyushu-okinawa","","",""
