quiz_id,item_key,label,answer,category,accept,extra_json
sekai-isan,法隆寺地域の仏教建造物,"次の説明にあてはまる世界遺産は？
「現存する世界最古の木造建築群として知られる仏教寺院」",法隆寺地域の仏教建造物,文化遺産,,"{""year"":1993}"
sekai-isan,法隆寺地域の仏教建造物-pref,「法隆寺地域の仏教建造物」の所在都道府県を1つ答えなさい。,奈良県,文化遺産,,
sekai-isan,法隆寺地域の仏教建造物-type,「法隆寺地域の仏教建造物」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,姫路城,"次の説明にあてはまる世界遺産は？
「白鷺城とも呼ばれる、白い外観が美しい天守を持つ城」",姫路城,文化遺産,,"{""year"":1993}"
sekai-isan,姫路城-pref,「姫路城」の所在都道府県を1つ答えなさい。,兵庫県,文化遺産,,
sekai-isan,姫路城-type,「姫路城」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,古都京都の文化財,"次の説明にあてはまる世界遺産は？
「清水寺や金閣寺など、古い都に残る社寺・城の総称」",古都京都の文化財,文化遺産,,"{""year"":1994}"
sekai-isan,古都京都の文化財-pref,「古都京都の文化財」の所在都道府県を1つ答えなさい。,京都府,文化遺産,滋賀県,
sekai-isan,古都京都の文化財-type,「古都京都の文化財」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,白川郷・五箇山の合掌造り集落,"次の説明にあてはまる世界遺産は？
「急な茅葺き屋根が特徴的な、豪雪地帯の伝統的な家屋群」",白川郷・五箇山の合掌造り集落,文化遺産,,"{""year"":1995}"
sekai-isan,白川郷・五箇山の合掌造り集落-pref,「白川郷・五箇山の合掌造り集落」の所在都道府県を1つ答えなさい。,岐阜県,文化遺産,富山県,
sekai-isan,白川郷・五箇山の合掌造り集落-type,「白川郷・五箇山の合掌造り集落」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,原爆ドーム,"次の説明にあてはまる世界遺産は？
「原子爆弾の惨禍を伝える、骨組みだけが残された建物」",原爆ドーム,文化遺産,,"{""year"":1996}"
sekai-isan,原爆ドーム-pref,「原爆ドーム」の所在都道府県を1つ答えなさい。,広島県,文化遺産,,
sekai-isan,原爆ドーム-type,「原爆ドーム」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,厳島神社,"次の説明にあてはまる世界遺産は？
「海上に立つ朱色の大鳥居で知られる神社」",厳島神社,文化遺産,,"{""year"":1996}"
sekai-isan,厳島神社-pref,「厳島神社」の所在都道府県を1つ答えなさい。,広島県,文化遺産,,
sekai-isan,厳島神社-type,「厳島神社」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,古都奈良の文化財,"次の説明にあてはまる世界遺産は？
「東大寺や興福寺など、かつての都に残る寺社群」",古都奈良の文化財,文化遺産,,"{""year"":1998}"
sekai-isan,古都奈良の文化財-pref,「古都奈良の文化財」の所在都道府県を1つ答えなさい。,奈良県,文化遺産,,
sekai-isan,古都奈良の文化財-type,「古都奈良の文化財」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,日光の社寺,"次の説明にあてはまる世界遺産は？
「「見ざる言わざる聞かざる」の彫刻で知られる東照宮を含む社寺群」",日光の社寺,文化遺産,,"{""year"":1999}"
sekai-isan,日光の社寺-pref,「日光の社寺」の所在都道府県を1つ答えなさい。,栃木県,文化遺産,,
sekai-isan,日光の社寺-type,「日光の社寺」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,琉球王国のグスク及び関連遺産群,"次の説明にあてはまる世界遺産は？
「首里城跡を中心とする、かつての王国の城・聖地群」",琉球王国のグスク及び関連遺産群,文化遺産,,"{""year"":2000}"
sekai-isan,琉球王国のグスク及び関連遺産群-pref,「琉球王国のグスク及び関連遺産群」の所在都道府県を1つ答えなさい。,沖縄県,文化遺産,,
sekai-isan,琉球王国のグスク及び関連遺産群-type,「琉球王国のグスク及び関連遺産群」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
sekai-isan,紀伊山地の霊場と参詣道,"次の説明にあてはまる世界遺産は？
「熊野古道など、山岳信仰の霊場と参詣道からなる遺産」",紀伊山地の霊場と参詣道,文化遺産,,"{""year"":2004}"
sekai-isan,紀伊山地の霊場と参詣道-pref,「紀伊山地の霊場と参詣道」の所在都道府県を1つ答えなさい。,三重県,文化遺産,奈良県|和歌山県,
sekai-isan,紀伊山地の霊場と参詣道-type,「紀伊山地の霊場と参詣道」は文化遺産・自然遺産のどちらに分類される？,文化遺産,文化遺産,,
